areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-09-04,5100,6019976,6
nation,England,E92000001,2021-09-03,22486,6014876,50
nation,England,E92000001,2021-09-02,27308,5992390,69
nation,England,E92000001,2021-09-01,29935,5965082,76
nation,England,E92000001,2021-08-31,32539,5935147,81
nation,England,E92000001,2021-08-30,24241,5902608,87
nation,England,E92000001,2021-08-29,18619,5878367,93
nation,England,E92000001,2021-08-28,19577,5859748,94
nation,England,E92000001,2021-08-27,23565,5840171,103
nation,England,E92000001,2021-08-26,25799,5816606,98
nation,England,E92000001,2021-08-25,27099,5790807,84
nation,England,E92000001,2021-08-24,27443,5763708,100
nation,England,E92000001,2021-08-23,29548,5736265,95
nation,England,E92000001,2021-08-22,21885,5706717,98
nation,England,E92000001,2021-08-21,22060,5684832,86
nation,England,E92000001,2021-08-20,24931,5662772,101
nation,England,E92000001,2021-08-19,28336,5637841,91
nation,England,E92000001,2021-08-18,30618,5609505,79
nation,England,E92000001,2021-08-17,30226,5578887,93
nation,England,E92000001,2021-08-16,30088,5548661,69
nation,England,E92000001,2021-08-15,20793,5518573,69
nation,England,E92000001,2021-08-14,20864,5497780,79
nation,England,E92000001,2021-08-13,24402,5476916,86
nation,England,E92000001,2021-08-12,27009,5452514,92
nation,England,E92000001,2021-08-11,28422,5425505,78
nation,England,E92000001,2021-08-10,26923,5397083,68
nation,England,E92000001,2021-08-09,27583,5370160,68
nation,England,E92000001,2021-08-08,19652,5342577,65
nation,England,E92000001,2021-08-07,19473,5322925,85
nation,England,E92000001,2021-08-06,24250,5303452,79
nation,England,E92000001,2021-08-05,27469,5279202,85
nation,England,E92000001,2021-08-04,28173,5251733,70
nation,England,E92000001,2021-08-03,26366,5223560,66
nation,England,E92000001,2021-08-02,25914,5197194,65
nation,England,E92000001,2021-08-01,18180,5171280,73
nation,England,E92000001,2021-07-31,17980,5153100,75
nation,England,E92000001,2021-07-30,21554,5135120,91
nation,England,E92000001,2021-07-29,24733,5113566,64
nation,England,E92000001,2021-07-28,26259,5088833,69
nation,England,E92000001,2021-07-27,25378,5062574,60
nation,England,E92000001,2021-07-26,25835,5037196,65
nation,England,E92000001,2021-07-25,19199,5011361,63
nation,England,E92000001,2021-07-24,19801,4992162,63
nation,England,E92000001,2021-07-23,23936,4972361,70
nation,England,E92000001,2021-07-22,27059,4948425,64
nation,England,E92000001,2021-07-21,30992,4921366,43
nation,England,E92000001,2021-07-20,35082,4890374,48
nation,England,E92000001,2021-07-19,42377,4855292,70
nation,England,E92000001,2021-07-18,32452,4812915,55
nation,England,E92000001,2021-07-17,34607,4780463,44
nation,England,E92000001,2021-07-16,50095,4745856,39
nation,England,E92000001,2021-07-15,56309,4695761,44
nation,England,E92000001,2021-07-14,49230,4639452,32
nation,England,E92000001,2021-07-13,42283,4590222,38
nation,England,E92000001,2021-07-12,39599,4547939,32
nation,England,E92000001,2021-07-11,26922,4508340,25
nation,England,E92000001,2021-07-10,24910,4481418,32
nation,England,E92000001,2021-07-09,28448,4456508,38
nation,England,E92000001,2021-07-08,29263,4428060,26
nation,England,E92000001,2021-07-07,33499,4398797,22
nation,England,E92000001,2021-07-06,30955,4365298,19
nation,England,E92000001,2021-07-05,29507,4334343,23
nation,England,E92000001,2021-07-04,21318,4304836,22
nation,England,E92000001,2021-07-03,20197,4283518,23
nation,England,E92000001,2021-07-02,21727,4263321,24
nation,England,E92000001,2021-07-01,23603,4241594,18
nation,England,E92000001,2021-06-30,23398,4217991,20
nation,England,E92000001,2021-06-29,22671,4194593,19
nation,England,E92000001,2021-06-28,22872,4171922,9
nation,England,E92000001,2021-06-27,15040,4149050,17
nation,England,E92000001,2021-06-26,13176,4134010,9
nation,England,E92000001,2021-06-25,14509,4120834,19
nation,England,E92000001,2021-06-24,14707,4106325,19
nation,England,E92000001,2021-06-23,14392,4091618,5
nation,England,E92000001,2021-06-22,13207,4077226,9
nation,England,E92000001,2021-06-21,12398,4064019,13
nation,England,E92000001,2021-06-20,8007,4051621,20
nation,England,E92000001,2021-06-19,6938,4043614,18
nation,England,E92000001,2021-06-18,8509,4036676,10
nation,England,E92000001,2021-06-17,9198,4028167,5
nation,England,E92000001,2021-06-16,9155,4018969,10
nation,England,E92000001,2021-06-15,8855,4009814,13
nation,England,E92000001,2021-06-14,8684,4000959,8
nation,England,E92000001,2021-06-13,5908,3992275,7
nation,England,E92000001,2021-06-12,5254,3986367,13
nation,England,E92000001,2021-06-11,6337,3981113,6
nation,England,E92000001,2021-06-10,6533,3974776,9
nation,England,E92000001,2021-06-09,6708,3968243,4
nation,England,E92000001,2021-06-08,6429,3961535,7
nation,England,E92000001,2021-06-07,6594,3955106,4
nation,England,E92000001,2021-06-06,4610,3948512,5
nation,England,E92000001,2021-06-05,3857,3943902,4
nation,England,E92000001,2021-06-04,4738,3940045,8
nation,England,E92000001,2021-06-03,4972,3935307,10
nation,England,E92000001,2021-06-02,4918,3930335,9
nation,England,E92000001,2021-06-01,4333,3925417,3
nation,England,E92000001,2021-05-31,3063,3921084,7
nation,England,E92000001,2021-05-30,2534,3918021,7
nation,England,E92000001,2021-05-29,2394,3915487,5
nation,England,E92000001,2021-05-28,2826,3913093,6
nation,England,E92000001,2021-05-27,2961,3910267,7
nation,England,E92000001,2021-05-26,3069,3907306,10
nation,England,E92000001,2021-05-25,2688,3904237,3
nation,England,E92000001,2021-05-24,2616,3901549,8
nation,England,E92000001,2021-05-23,1841,3898933,6
nation,England,E92000001,2021-05-22,1534,3897092,3
nation,England,E92000001,2021-05-21,1800,3895558,7
nation,England,E92000001,2021-05-20,1913,3893758,5
nation,England,E92000001,2021-05-19,2172,3891845,3
nation,England,E92000001,2021-05-18,2139,3889673,3
nation,England,E92000001,2021-05-17,2243,3887534,5
nation,England,E92000001,2021-05-16,1521,3885291,6
nation,England,E92000001,2021-05-15,1259,3883770,7
nation,England,E92000001,2021-05-14,1457,3882511,3
nation,England,E92000001,2021-05-13,1653,3881054,4
