areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-08-09,6442,5344609,16
nation,England,E92000001,2021-08-08,17617,5338167,38
nation,England,E92000001,2021-08-07,18480,5320550,56
nation,England,E92000001,2021-08-06,23941,5302070,59
nation,England,E92000001,2021-08-05,27311,5278129,75
nation,England,E92000001,2021-08-04,28036,5250818,61
nation,England,E92000001,2021-08-03,26293,5222782,56
nation,England,E92000001,2021-08-02,25834,5196489,60
nation,England,E92000001,2021-08-01,18123,5170655,68
nation,England,E92000001,2021-07-31,17944,5152532,69
nation,England,E92000001,2021-07-30,21514,5134588,89
nation,England,E92000001,2021-07-29,24680,5113074,61
nation,England,E92000001,2021-07-28,26233,5088394,66
nation,England,E92000001,2021-07-27,25322,5062161,60
nation,England,E92000001,2021-07-26,25791,5036839,63
nation,England,E92000001,2021-07-25,19184,5011048,62
nation,England,E92000001,2021-07-24,19787,4991864,62
nation,England,E92000001,2021-07-23,23926,4972077,68
nation,England,E92000001,2021-07-22,27036,4948151,62
nation,England,E92000001,2021-07-21,30952,4921115,41
nation,England,E92000001,2021-07-20,35062,4890163,51
nation,England,E92000001,2021-07-19,42364,4855101,69
nation,England,E92000001,2021-07-18,32443,4812737,55
nation,England,E92000001,2021-07-17,34595,4780294,43
nation,England,E92000001,2021-07-16,50064,4745699,38
nation,England,E92000001,2021-07-15,56273,4695635,44
nation,England,E92000001,2021-07-14,49203,4639362,32
nation,England,E92000001,2021-07-13,42275,4590159,38
nation,England,E92000001,2021-07-12,39588,4547884,32
nation,England,E92000001,2021-07-11,26901,4508296,25
nation,England,E92000001,2021-07-10,24885,4481395,32
nation,England,E92000001,2021-07-09,28430,4456510,37
nation,England,E92000001,2021-07-08,29250,4428080,26
nation,England,E92000001,2021-07-07,33490,4398830,23
nation,England,E92000001,2021-07-06,30928,4365340,18
nation,England,E92000001,2021-07-05,29501,4334412,23
nation,England,E92000001,2021-07-04,21312,4304911,22
nation,England,E92000001,2021-07-03,20195,4283599,23
nation,England,E92000001,2021-07-02,21725,4263404,24
nation,England,E92000001,2021-07-01,23604,4241679,18
nation,England,E92000001,2021-06-30,23405,4218075,20
nation,England,E92000001,2021-06-29,22671,4194670,19
nation,England,E92000001,2021-06-28,22874,4171999,9
nation,England,E92000001,2021-06-27,15039,4149125,17
nation,England,E92000001,2021-06-26,13171,4134086,9
nation,England,E92000001,2021-06-25,14506,4120915,19
nation,England,E92000001,2021-06-24,14707,4106409,19
nation,England,E92000001,2021-06-23,14394,4091702,5
nation,England,E92000001,2021-06-22,13207,4077308,9
nation,England,E92000001,2021-06-21,12398,4064101,13
nation,England,E92000001,2021-06-20,8007,4051703,20
nation,England,E92000001,2021-06-19,6938,4043696,18
nation,England,E92000001,2021-06-18,8509,4036758,10
nation,England,E92000001,2021-06-17,9197,4028249,5
nation,England,E92000001,2021-06-16,9155,4019052,10
nation,England,E92000001,2021-06-15,8855,4009897,13
nation,England,E92000001,2021-06-14,8686,4001042,8
nation,England,E92000001,2021-06-13,5907,3992356,7
nation,England,E92000001,2021-06-12,5253,3986449,13
nation,England,E92000001,2021-06-11,6337,3981196,6
nation,England,E92000001,2021-06-10,6531,3974859,9
nation,England,E92000001,2021-06-09,6706,3968328,4
nation,England,E92000001,2021-06-08,6430,3961622,7
nation,England,E92000001,2021-06-07,6596,3955192,4
nation,England,E92000001,2021-06-06,4610,3948596,5
nation,England,E92000001,2021-06-05,3858,3943986,4
nation,England,E92000001,2021-06-04,4739,3940128,8
nation,England,E92000001,2021-06-03,4973,3935389,10
nation,England,E92000001,2021-06-02,4920,3930416,9
nation,England,E92000001,2021-06-01,4333,3925496,3
nation,England,E92000001,2021-05-31,3061,3921163,7
nation,England,E92000001,2021-05-30,2534,3918102,7
nation,England,E92000001,2021-05-29,2393,3915568,5
nation,England,E92000001,2021-05-28,2827,3913175,6
nation,England,E92000001,2021-05-27,2960,3910348,7
nation,England,E92000001,2021-05-26,3068,3907388,10
nation,England,E92000001,2021-05-25,2689,3904320,3
nation,England,E92000001,2021-05-24,2616,3901631,8
nation,England,E92000001,2021-05-23,1840,3899015,6
nation,England,E92000001,2021-05-22,1533,3897175,3
nation,England,E92000001,2021-05-21,1800,3895642,7
nation,England,E92000001,2021-05-20,1912,3893842,5
nation,England,E92000001,2021-05-19,2173,3891930,3
nation,England,E92000001,2021-05-18,2139,3889757,3
nation,England,E92000001,2021-05-17,2242,3887618,5
nation,England,E92000001,2021-05-16,1521,3885376,6
nation,England,E92000001,2021-05-15,1260,3883855,7
nation,England,E92000001,2021-05-14,1457,3882595,3
nation,England,E92000001,2021-05-13,1653,3881138,4
nation,England,E92000001,2021-05-12,1767,3879485,9
nation,England,E92000001,2021-05-11,1743,3877718,13
nation,England,E92000001,2021-05-10,2170,3875975,8
nation,England,E92000001,2021-05-09,1846,3873805,8
nation,England,E92000001,2021-05-08,1203,3871959,8
nation,England,E92000001,2021-05-07,1556,3870756,8
nation,England,E92000001,2021-05-06,1800,3869200,7
nation,England,E92000001,2021-05-05,2037,3867400,12
nation,England,E92000001,2021-05-04,2037,3865363,9
nation,England,E92000001,2021-05-03,1694,3863326,8
nation,England,E92000001,2021-05-02,1214,3861632,10
nation,England,E92000001,2021-05-01,1126,3860418,7
nation,England,E92000001,2021-04-30,1408,3859292,8
nation,England,E92000001,2021-04-29,1763,3857884,11
nation,England,E92000001,2021-04-28,2019,3856121,13
nation,England,E92000001,2021-04-27,1694,3854102,10
nation,England,E92000001,2021-04-26,2089,3852408,9
nation,England,E92000001,2021-04-25,1772,3850319,12
nation,England,E92000001,2021-04-24,1205,3848547,7
nation,England,E92000001,2021-04-23,1577,3847342,17
nation,England,E92000001,2021-04-22,1883,3845765,14
nation,England,E92000001,2021-04-21,2124,3843882,17
nation,England,E92000001,2021-04-20,1942,3841758,17
nation,England,E92000001,2021-04-19,2130,3839816,16
nation,England,E92000001,2021-04-18,2131,3837686,15
nation,England,E92000001,2021-04-17,1308,3835555,18
nation,England,E92000001,2021-04-16,1805,3834247,15
nation,England,E92000001,2021-04-15,1799,3832442,17
nation,England,E92000001,2021-04-14,1937,3830643,9
nation,England,E92000001,2021-04-13,1908,3828706,19
nation,England,E92000001,2021-04-12,2236,3826798,25
nation,England,E92000001,2021-04-11,1898,3824562,19
nation,England,E92000001,2021-04-10,1888,3822664,18
nation,England,E92000001,2021-04-09,2314,3820776,17
nation,England,E92000001,2021-04-08,2479,3818462,31
nation,England,E92000001,2021-04-07,2586,3815983,25
nation,England,E92000001,2021-04-06,2560,3813397,23
nation,England,E92000001,2021-04-05,2190,3810837,10
nation,England,E92000001,2021-04-04,1925,3808647,24
nation,England,E92000001,2021-04-03,2016,3806722,27
nation,England,E92000001,2021-04-02,2128,3804706,19
nation,England,E92000001,2021-04-01,2864,3802578,28
nation,England,E92000001,2021-03-31,3141,3799714,37
nation,England,E92000001,2021-03-30,2954,3796573,38
nation,England,E92000001,2021-03-29,3200,3793619,26
nation,England,E92000001,2021-03-28,4095,3790419,27
nation,England,E92000001,2021-03-27,2939,3786324,29
nation,England,E92000001,2021-03-26,3621,3783385,41
nation,England,E92000001,2021-03-25,4447,3779764,37
nation,England,E92000001,2021-03-24,5104,3775317,34
nation,England,E92000001,2021-03-23,4338,3770213,46
nation,England,E92000001,2021-03-22,5145,3765875,57
nation,England,E92000001,2021-03-21,4516,3760730,70
nation,England,E92000001,2021-03-20,3367,3756214,59
nation,England,E92000001,2021-03-19,4139,3752847,56
nation,England,E92000001,2021-03-18,4523,3748708,52
nation,England,E92000001,2021-03-17,4851,3744185,65
nation,England,E92000001,2021-03-16,4739,3739334,66
nation,England,E92000001,2021-03-15,5437,3734595,84
nation,England,E92000001,2021-03-14,3583,3729158,79
nation,England,E92000001,2021-03-13,3450,3725575,99
nation,England,E92000001,2021-03-12,4614,3722125,81
nation,England,E92000001,2021-03-11,4686,3717511,107
