areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-03-01,1736,3668620,49
nation,England,E92000001,2021-02-28,3441,3666884,128
nation,England,E92000001,2021-02-27,3837,3663443,137
nation,England,E92000001,2021-02-26,5604,3659606,160
nation,England,E92000001,2021-02-25,6602,3654002,180
nation,England,E92000001,2021-02-24,7279,3647400,206
nation,England,E92000001,2021-02-23,8190,3640121,241
nation,England,E92000001,2021-02-22,9941,3631931,224
nation,England,E92000001,2021-02-21,6823,3621990,268
nation,England,E92000001,2021-02-20,6916,3615167,276
nation,England,E92000001,2021-02-19,8925,3608251,309
nation,England,E92000001,2021-02-18,9928,3599326,351
nation,England,E92000001,2021-02-17,10050,3589398,373
nation,England,E92000001,2021-02-16,10850,3579348,390
nation,England,E92000001,2021-02-15,12495,3568498,454
nation,England,E92000001,2021-02-14,7572,3556003,424
nation,England,E92000001,2021-02-13,7767,3548431,423
nation,England,E92000001,2021-02-12,10595,3540664,447
nation,England,E92000001,2021-02-11,11294,3530069,506
nation,England,E92000001,2021-02-10,11896,3518775,535
nation,England,E92000001,2021-02-09,12291,3506879,529
nation,England,E92000001,2021-02-08,13928,3494588,615
nation,England,E92000001,2021-02-07,10197,3480660,564
nation,England,E92000001,2021-02-06,10607,3470463,604
nation,England,E92000001,2021-02-05,14034,3459856,672
nation,England,E92000001,2021-02-04,16235,3445822,648
nation,England,E92000001,2021-02-03,17472,3429587,774
nation,England,E92000001,2021-02-02,17691,3412115,757
nation,England,E92000001,2021-02-01,20186,3394424,797
nation,England,E92000001,2021-01-31,13777,3374238,809
nation,England,E92000001,2021-01-30,15015,3360461,829
nation,England,E92000001,2021-01-29,19735,3345446,940
nation,England,E92000001,2021-01-28,21907,3325711,1018
nation,England,E92000001,2021-01-27,23313,3303804,1008
nation,England,E92000001,2021-01-26,24503,3280491,955
nation,England,E92000001,2021-01-25,27192,3255988,1070
nation,England,E92000001,2021-01-24,15508,3228796,1038
nation,England,E92000001,2021-01-23,19926,3213288,1053
nation,England,E92000001,2021-01-22,26987,3193362,1118
nation,England,E92000001,2021-01-21,28810,3166375,1132
nation,England,E92000001,2021-01-20,31829,3137565,1168
nation,England,E92000001,2021-01-19,36040,3105736,1244
nation,England,E92000001,2021-01-18,40795,3069696,1169
nation,England,E92000001,2021-01-17,26240,3028901,1162
nation,England,E92000001,2021-01-16,27678,3002661,1163
nation,England,E92000001,2021-01-15,36834,2974983,1096
nation,England,E92000001,2021-01-14,38573,2938149,1084
nation,England,E92000001,2021-01-13,41214,2899576,1098
nation,England,E92000001,2021-01-12,44741,2858362,1087
nation,England,E92000001,2021-01-11,52096,2813621,1003
nation,England,E92000001,2021-01-10,32869,2761525,977
nation,England,E92000001,2021-01-09,35448,2728656,923
nation,England,E92000001,2021-01-08,42381,2693208,882
nation,England,E92000001,2021-01-07,46869,2650827,884
nation,England,E92000001,2021-01-06,51356,2603958,823
nation,England,E92000001,2021-01-05,58100,2552602,822
nation,England,E92000001,2021-01-04,69133,2494502,752
nation,England,E92000001,2021-01-03,49532,2425369,648
nation,England,E92000001,2021-01-02,54205,2375837,666
nation,England,E92000001,2021-01-01,28217,2321632,640
nation,England,E92000001,2020-12-31,46704,2293415,648
nation,England,E92000001,2020-12-30,62913,2246711,623
nation,England,E92000001,2020-12-29,72532,2183798,582
nation,England,E92000001,2020-12-28,40034,2111266,587
nation,England,E92000001,2020-12-27,42467,2071232,568
nation,England,E92000001,2020-12-26,36693,2028765,566
nation,England,E92000001,2020-12-25,12676,1992072,534
nation,England,E92000001,2020-12-24,28732,1979396,484
nation,England,E92000001,2020-12-23,37708,1950664,483
nation,England,E92000001,2020-12-22,40919,1912956,491
nation,England,E92000001,2020-12-21,42612,1872037,495
nation,England,E92000001,2020-12-20,28953,1829425,427
nation,England,E92000001,2020-12-19,21744,1800472,411
nation,England,E92000001,2020-12-18,31840,1778728,435
nation,England,E92000001,2020-12-17,29598,1746888,438
nation,England,E92000001,2020-12-16,30126,1717290,357
nation,England,E92000001,2020-12-15,29123,1687164,384
nation,England,E92000001,2020-12-14,29523,1658041,411
nation,England,E92000001,2020-12-13,18133,1628518,365
nation,England,E92000001,2020-12-12,16037,1610385,374
nation,England,E92000001,2020-12-11,19891,1594348,397
nation,England,E92000001,2020-12-10,18563,1574457,378
nation,England,E92000001,2020-12-09,17502,1555894,374
nation,England,E92000001,2020-12-08,16689,1538392,375
nation,England,E92000001,2020-12-07,17417,1521703,356
nation,England,E92000001,2020-12-06,10899,1504286,352
nation,England,E92000001,2020-12-05,10186,1493387,343
nation,England,E92000001,2020-12-04,12910,1483201,413
nation,England,E92000001,2020-12-03,12541,1470291,402
nation,England,E92000001,2020-12-02,13448,1457750,337
nation,England,E92000001,2020-12-01,13520,1444302,348
nation,England,E92000001,2020-11-30,15045,1430782,362
nation,England,E92000001,2020-11-29,8913,1415737,399
nation,England,E92000001,2020-11-28,9201,1406824,382
nation,England,E92000001,2020-11-27,12279,1397623,363
nation,England,E92000001,2020-11-26,12274,1385344,373
nation,England,E92000001,2020-11-25,13928,1373070,422
nation,England,E92000001,2020-11-24,14033,1359142,403
nation,England,E92000001,2020-11-23,16207,1345109,400
nation,England,E92000001,2020-11-22,10042,1328902,405
nation,England,E92000001,2020-11-21,10619,1318860,396
nation,England,E92000001,2020-11-20,14688,1308241,388
nation,England,E92000001,2020-11-19,15513,1293553,397
nation,England,E92000001,2020-11-18,18231,1278040,435
nation,England,E92000001,2020-11-17,20345,1259809,364
nation,England,E92000001,2020-11-16,23730,1239464,359
nation,England,E92000001,2020-11-15,14226,1215734,381
nation,England,E92000001,2020-11-14,16036,1201508,358
nation,England,E92000001,2020-11-13,21655,1185472,356
nation,England,E92000001,2020-11-12,21959,1163817,351
nation,England,E92000001,2020-11-11,24650,1141858,311
nation,England,E92000001,2020-11-10,24485,1117208,319
nation,England,E92000001,2020-11-09,28106,1092723,402
nation,England,E92000001,2020-11-08,17971,1064617,341
nation,England,E92000001,2020-11-07,16625,1046646,331
nation,England,E92000001,2020-11-06,20832,1030021,333
nation,England,E92000001,2020-11-05,20887,1009189,301
nation,England,E92000001,2020-11-04,20700,988302,277
nation,England,E92000001,2020-11-03,22321,967602,292
nation,England,E92000001,2020-11-02,27942,945281,282
nation,England,E92000001,2020-11-01,13377,917339,286
nation,England,E92000001,2020-10-31,14365,903962,276
nation,England,E92000001,2020-10-30,19673,889597,279
nation,England,E92000001,2020-10-29,19988,869924,250
nation,England,E92000001,2020-10-28,20241,849936,238
nation,England,E92000001,2020-10-27,20500,829695,218
nation,England,E92000001,2020-10-26,22766,809195,222
nation,England,E92000001,2020-10-25,13174,786429,205
nation,England,E92000001,2020-10-24,13524,773255,171
nation,England,E92000001,2020-10-23,18122,759731,188
nation,England,E92000001,2020-10-22,19615,741609,186
nation,England,E92000001,2020-10-21,21500,721994,191
nation,England,E92000001,2020-10-20,21342,700494,171
nation,England,E92000001,2020-10-19,22116,679152,159
nation,England,E92000001,2020-10-18,11855,657036,120
nation,England,E92000001,2020-10-17,12357,645181,160
nation,England,E92000001,2020-10-16,14546,632824,123
nation,England,E92000001,2020-10-15,15240,618278,124
nation,England,E92000001,2020-10-14,16444,603038,101
nation,England,E92000001,2020-10-13,15442,586594,87
nation,England,E92000001,2020-10-12,16193,571152,96
nation,England,E92000001,2020-10-11,9651,554959,103
nation,England,E92000001,2020-10-10,10150,545308,90
nation,England,E92000001,2020-10-09,13011,535158,67
nation,England,E92000001,2020-10-08,15265,522147,75
nation,England,E92000001,2020-10-07,15201,506882,81
nation,England,E92000001,2020-10-06,14295,491681,62
nation,England,E92000001,2020-10-05,14039,477386,59
nation,England,E92000001,2020-10-04,9830,463347,54
nation,England,E92000001,2020-10-03,9705,453517,55
nation,England,E92000001,2020-10-02,11578,443812,63
nation,England,E92000001,2020-10-01,11306,432234,56
nation,England,E92000001,2020-09-30,10520,420928,48
nation,England,E92000001,2020-09-29,8723,410408,43
nation,England,E92000001,2020-09-28,8584,401685,47
nation,England,E92000001,2020-09-27,6025,393101,42
nation,England,E92000001,2020-09-26,5653,387076,35
nation,England,E92000001,2020-09-25,6048,381423,29
nation,England,E92000001,2020-09-24,6291,375375,33
nation,England,E92000001,2020-09-23,5894,369084,52
nation,England,E92000001,2020-09-22,5363,363190,34
nation,England,E92000001,2020-09-21,4700,357827,24
nation,England,E92000001,2020-09-20,4628,353127,27
nation,England,E92000001,2020-09-19,4179,348499,18
nation,England,E92000001,2020-09-18,4275,344320,21
nation,England,E92000001,2020-09-17,3941,340045,24
nation,England,E92000001,2020-09-16,3749,336104,22
nation,England,E92000001,2020-09-15,3043,332355,15
nation,England,E92000001,2020-09-14,2901,329312,17
nation,England,E92000001,2020-09-13,1710,326411,14
nation,England,E92000001,2020-09-12,2213,324701,18
nation,England,E92000001,2020-09-11,2857,322488,10
nation,England,E92000001,2020-09-10,3100,319631,12
nation,England,E92000001,2020-09-09,2852,316531,9
nation,England,E92000001,2020-09-08,3004,313679,9
nation,England,E92000001,2020-09-07,3465,310675,13
nation,England,E92000001,2020-09-06,2061,307210,8
nation,England,E92000001,2020-09-05,2190,305149,12
nation,England,E92000001,2020-09-04,2590,302959,6
nation,England,E92000001,2020-09-03,2666,300369,6
nation,England,E92000001,2020-09-02,2618,297703,8
nation,England,E92000001,2020-09-01,1927,295085,2
nation,England,E92000001,2020-08-31,1259,293158,7
nation,England,E92000001,2020-08-30,978,291899,6
nation,England,E92000001,2020-08-29,1040,290921,5
nation,England,E92000001,2020-08-28,1382,289881,8
nation,England,E92000001,2020-08-27,1324,288499,8
nation,England,E92000001,2020-08-26,1138,287175,11
nation,England,E92000001,2020-08-25,1060,286037,11
nation,England,E92000001,2020-08-24,1132,284977,5
nation,England,E92000001,2020-08-23,694,283845,13
nation,England,E92000001,2020-08-22,714,283151,6
nation,England,E92000001,2020-08-21,1004,282437,7
nation,England,E92000001,2020-08-20,1221,281433,8
nation,England,E92000001,2020-08-19,1070,280212,2
nation,England,E92000001,2020-08-18,925,279142,7
nation,England,E92000001,2020-08-17,1137,278217,12
nation,England,E92000001,2020-08-16,529,277080,4
nation,England,E92000001,2020-08-15,643,276551,11
nation,England,E92000001,2020-08-14,1035,275908,6
nation,England,E92000001,2020-08-13,1017,274873,7
nation,England,E92000001,2020-08-12,1094,273856,6
nation,England,E92000001,2020-08-11,1211,272762,10
nation,England,E92000001,2020-08-10,1351,271551,11
nation,England,E92000001,2020-08-09,557,270200,8
nation,England,E92000001,2020-08-08,636,269643,11
nation,England,E92000001,2020-08-07,866,269007,7
nation,England,E92000001,2020-08-06,978,268141,9
nation,England,E92000001,2020-08-05,942,267163,3
nation,England,E92000001,2020-08-04,918,266221,10
nation,England,E92000001,2020-08-03,938,265303,14
nation,England,E92000001,2020-08-02,512,264365,8
nation,England,E92000001,2020-08-01,493,263853,9
nation,England,E92000001,2020-07-31,625,263360,10
nation,England,E92000001,2020-07-30,855,262735,8
nation,England,E92000001,2020-07-29,973,261880,8
nation,England,E92000001,2020-07-28,781,260907,10
nation,England,E92000001,2020-07-27,810,260126,10
nation,England,E92000001,2020-07-26,515,259316,14
nation,England,E92000001,2020-07-25,492,258801,13
nation,England,E92000001,2020-07-24,713,258309,6
nation,England,E92000001,2020-07-23,732,257596,16
nation,England,E92000001,2020-07-22,749,256864,16
nation,England,E92000001,2020-07-21,690,256115,19
nation,England,E92000001,2020-07-20,754,255425,12
nation,England,E92000001,2020-07-19,413,254671,14
nation,England,E92000001,2020-07-18,467,254258,14
nation,England,E92000001,2020-07-17,547,253791,18
nation,England,E92000001,2020-07-16,639,253244,12
nation,England,E92000001,2020-07-15,725,252605,20
nation,England,E92000001,2020-07-14,653,251880,20
nation,England,E92000001,2020-07-13,689,251227,22
nation,England,E92000001,2020-07-12,352,250538,12
nation,England,E92000001,2020-07-11,419,250186,20
nation,England,E92000001,2020-07-10,519,249767,21
