areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-03-16,1414,3741067,14
nation,England,E92000001,2021-03-15,5006,3739653,54
nation,England,E92000001,2021-03-14,3501,3734647,56
nation,England,E92000001,2021-03-13,3414,3731146,87
nation,England,E92000001,2021-03-12,4692,3727732,64
nation,England,E92000001,2021-03-11,4798,3723040,88
nation,England,E92000001,2021-03-10,5130,3718242,91
nation,England,E92000001,2021-03-09,5343,3713112,110
nation,England,E92000001,2021-03-08,5760,3707769,119
nation,England,E92000001,2021-03-07,3587,3702009,106
nation,England,E92000001,2021-03-06,3725,3698422,125
nation,England,E92000001,2021-03-05,4655,3694697,148
nation,England,E92000001,2021-03-04,4858,3690042,123
nation,England,E92000001,2021-03-03,5143,3685184,125
nation,England,E92000001,2021-03-02,5703,3680041,150
nation,England,E92000001,2021-03-01,5947,3674338,193
nation,England,E92000001,2021-02-28,3984,3668391,195
nation,England,E92000001,2021-02-27,4120,3664407,193
nation,England,E92000001,2021-02-26,5698,3660287,190
nation,England,E92000001,2021-02-25,6653,3654589,220
nation,England,E92000001,2021-02-24,7324,3647936,238
nation,England,E92000001,2021-02-23,8198,3640612,252
nation,England,E92000001,2021-02-22,9941,3632414,238
nation,England,E92000001,2021-02-21,6834,3622473,283
nation,England,E92000001,2021-02-20,6913,3615639,297
nation,England,E92000001,2021-02-19,8929,3608726,317
nation,England,E92000001,2021-02-18,9927,3599797,362
nation,England,E92000001,2021-02-17,10054,3589870,385
nation,England,E92000001,2021-02-16,10847,3579816,395
nation,England,E92000001,2021-02-15,12518,3568969,457
nation,England,E92000001,2021-02-14,7564,3556451,431
nation,England,E92000001,2021-02-13,7762,3548887,429
nation,England,E92000001,2021-02-12,10602,3541125,452
nation,England,E92000001,2021-02-11,11264,3530523,507
nation,England,E92000001,2021-02-10,11894,3519259,541
nation,England,E92000001,2021-02-09,12300,3507365,532
nation,England,E92000001,2021-02-08,13931,3495065,615
nation,England,E92000001,2021-02-07,10196,3481134,564
nation,England,E92000001,2021-02-06,10608,3470938,606
nation,England,E92000001,2021-02-05,14036,3460330,676
nation,England,E92000001,2021-02-04,16231,3446294,646
nation,England,E92000001,2021-02-03,17478,3430063,773
nation,England,E92000001,2021-02-02,17732,3412585,758
nation,England,E92000001,2021-02-01,20188,3394853,800
nation,England,E92000001,2021-01-31,13777,3374665,808
nation,England,E92000001,2021-01-30,15019,3360888,829
nation,England,E92000001,2021-01-29,19738,3345869,941
nation,England,E92000001,2021-01-28,21915,3326131,1016
nation,England,E92000001,2021-01-27,23318,3304216,1006
nation,England,E92000001,2021-01-26,24510,3280898,956
nation,England,E92000001,2021-01-25,27196,3256388,1074
nation,England,E92000001,2021-01-24,15508,3229192,1036
nation,England,E92000001,2021-01-23,19924,3213684,1055
nation,England,E92000001,2021-01-22,26983,3193760,1122
nation,England,E92000001,2021-01-21,28809,3166777,1132
nation,England,E92000001,2021-01-20,31823,3137968,1167
nation,England,E92000001,2021-01-19,36044,3106145,1245
nation,England,E92000001,2021-01-18,40804,3070101,1167
nation,England,E92000001,2021-01-17,26245,3029297,1167
nation,England,E92000001,2021-01-16,27684,3003052,1164
nation,England,E92000001,2021-01-15,36835,2975368,1100
nation,England,E92000001,2021-01-14,38580,2938533,1082
nation,England,E92000001,2021-01-13,41215,2899953,1100
nation,England,E92000001,2021-01-12,44742,2858738,1088
nation,England,E92000001,2021-01-11,52097,2813996,1009
nation,England,E92000001,2021-01-10,32872,2761899,974
nation,England,E92000001,2021-01-09,35464,2729027,924
nation,England,E92000001,2021-01-08,42394,2693563,886
nation,England,E92000001,2021-01-07,46879,2651169,886
nation,England,E92000001,2021-01-06,51369,2604290,820
nation,England,E92000001,2021-01-05,58106,2552921,825
nation,England,E92000001,2021-01-04,69154,2494815,755
nation,England,E92000001,2021-01-03,49544,2425661,651
nation,England,E92000001,2021-01-02,54213,2376117,668
nation,England,E92000001,2021-01-01,28227,2321904,640
nation,England,E92000001,2020-12-31,46720,2293677,649
nation,England,E92000001,2020-12-30,62926,2246957,623
nation,England,E92000001,2020-12-29,72546,2184031,580
nation,England,E92000001,2020-12-28,40055,2111485,589
nation,England,E92000001,2020-12-27,42472,2071430,570
nation,England,E92000001,2020-12-26,36702,2028958,565
nation,England,E92000001,2020-12-25,12677,1992256,535
nation,England,E92000001,2020-12-24,28729,1979579,484
nation,England,E92000001,2020-12-23,37713,1950850,482
nation,England,E92000001,2020-12-22,40938,1913137,492
nation,England,E92000001,2020-12-21,42627,1872199,496
nation,England,E92000001,2020-12-20,28961,1829572,427
nation,England,E92000001,2020-12-19,21753,1800611,412
nation,England,E92000001,2020-12-18,31848,1778858,433
nation,England,E92000001,2020-12-17,29604,1747010,439
nation,England,E92000001,2020-12-16,30138,1717406,355
nation,England,E92000001,2020-12-15,29125,1687268,386
nation,England,E92000001,2020-12-14,29535,1658143,412
nation,England,E92000001,2020-12-13,18135,1628608,364
nation,England,E92000001,2020-12-12,16034,1610473,374
nation,England,E92000001,2020-12-11,19887,1594439,396
nation,England,E92000001,2020-12-10,18573,1574552,381
nation,England,E92000001,2020-12-09,17507,1555979,374
nation,England,E92000001,2020-12-08,16690,1538472,375
nation,England,E92000001,2020-12-07,17422,1521782,355
nation,England,E92000001,2020-12-06,10903,1504360,353
nation,England,E92000001,2020-12-05,10199,1493457,342
nation,England,E92000001,2020-12-04,12929,1483258,412
nation,England,E92000001,2020-12-03,12547,1470329,404
nation,England,E92000001,2020-12-02,13457,1457782,337
nation,England,E92000001,2020-12-01,13528,1444325,347
nation,England,E92000001,2020-11-30,15049,1430797,363
nation,England,E92000001,2020-11-29,8913,1415748,401
nation,England,E92000001,2020-11-28,9202,1406835,383
nation,England,E92000001,2020-11-27,12274,1397633,363
nation,England,E92000001,2020-11-26,12270,1385359,369
nation,England,E92000001,2020-11-25,13929,1373089,425
nation,England,E92000001,2020-11-24,14032,1359160,403
nation,England,E92000001,2020-11-23,16201,1345128,400
nation,England,E92000001,2020-11-22,10040,1328927,406
nation,England,E92000001,2020-11-21,10618,1318887,397
nation,England,E92000001,2020-11-20,14688,1308269,389
nation,England,E92000001,2020-11-19,15506,1293581,397
nation,England,E92000001,2020-11-18,18232,1278075,435
nation,England,E92000001,2020-11-17,20345,1259843,365
nation,England,E92000001,2020-11-16,23730,1239498,358
nation,England,E92000001,2020-11-15,14227,1215768,381
nation,England,E92000001,2020-11-14,16036,1201541,358
nation,England,E92000001,2020-11-13,21664,1185505,356
nation,England,E92000001,2020-11-12,21959,1163841,351
nation,England,E92000001,2020-11-11,24650,1141882,311
nation,England,E92000001,2020-11-10,24484,1117232,319
nation,England,E92000001,2020-11-09,28105,1092748,402
nation,England,E92000001,2020-11-08,17968,1064643,341
nation,England,E92000001,2020-11-07,16625,1046675,331
nation,England,E92000001,2020-11-06,20831,1030050,333
nation,England,E92000001,2020-11-05,20875,1009219,301
nation,England,E92000001,2020-11-04,20699,988344,277
nation,England,E92000001,2020-11-03,22317,967645,292
nation,England,E92000001,2020-11-02,27932,945328,283
nation,England,E92000001,2020-11-01,13375,917396,286
nation,England,E92000001,2020-10-31,14360,904021,276
nation,England,E92000001,2020-10-30,19649,889661,280
nation,England,E92000001,2020-10-29,19982,870012,249
nation,England,E92000001,2020-10-28,20242,850030,238
nation,England,E92000001,2020-10-27,20499,829788,218
nation,England,E92000001,2020-10-26,22769,809289,222
nation,England,E92000001,2020-10-25,13168,786520,205
nation,England,E92000001,2020-10-24,13524,773352,171
nation,England,E92000001,2020-10-23,18112,759828,188
nation,England,E92000001,2020-10-22,19626,741716,186
nation,England,E92000001,2020-10-21,21504,722090,191
nation,England,E92000001,2020-10-20,21346,700586,171
nation,England,E92000001,2020-10-19,22120,679240,159
nation,England,E92000001,2020-10-18,11857,657120,120
nation,England,E92000001,2020-10-17,12360,645263,160
nation,England,E92000001,2020-10-16,14557,632903,123
nation,England,E92000001,2020-10-15,15249,618346,124
nation,England,E92000001,2020-10-14,16451,603097,101
nation,England,E92000001,2020-10-13,15451,586646,87
nation,England,E92000001,2020-10-12,16200,571195,96
nation,England,E92000001,2020-10-11,9659,554995,103
nation,England,E92000001,2020-10-10,10155,545336,90
nation,England,E92000001,2020-10-09,13015,535181,67
nation,England,E92000001,2020-10-08,15270,522166,75
nation,England,E92000001,2020-10-07,15204,506896,81
nation,England,E92000001,2020-10-06,14295,491692,62
nation,England,E92000001,2020-10-05,14040,477397,59
nation,England,E92000001,2020-10-04,9831,463357,54
nation,England,E92000001,2020-10-03,9706,453526,55
nation,England,E92000001,2020-10-02,11579,443820,63
nation,England,E92000001,2020-10-01,11306,432241,56
nation,England,E92000001,2020-09-30,10523,420935,48
nation,England,E92000001,2020-09-29,8722,410412,43
nation,England,E92000001,2020-09-28,8583,401690,47
nation,England,E92000001,2020-09-27,6026,393107,42
nation,England,E92000001,2020-09-26,5657,387081,35
nation,England,E92000001,2020-09-25,6044,381424,29
nation,England,E92000001,2020-09-24,6292,375380,33
nation,England,E92000001,2020-09-23,5893,369088,52
nation,England,E92000001,2020-09-22,5366,363195,34
nation,England,E92000001,2020-09-21,4702,357829,24
nation,England,E92000001,2020-09-20,4629,353127,27
nation,England,E92000001,2020-09-19,4180,348498,18
nation,England,E92000001,2020-09-18,4273,344318,21
nation,England,E92000001,2020-09-17,3939,340045,24
nation,England,E92000001,2020-09-16,3749,336106,22
nation,England,E92000001,2020-09-15,3043,332357,15
nation,England,E92000001,2020-09-14,2901,329314,17
nation,England,E92000001,2020-09-13,1711,326413,14
nation,England,E92000001,2020-09-12,2213,324702,18
nation,England,E92000001,2020-09-11,2859,322489,10
nation,England,E92000001,2020-09-10,3100,319630,12
nation,England,E92000001,2020-09-09,2852,316530,9
nation,England,E92000001,2020-09-08,3004,313678,9
nation,England,E92000001,2020-09-07,3464,310674,13
nation,England,E92000001,2020-09-06,2061,307210,8
nation,England,E92000001,2020-09-05,2190,305149,12
nation,England,E92000001,2020-09-04,2590,302959,6
nation,England,E92000001,2020-09-03,2666,300369,6
nation,England,E92000001,2020-09-02,2619,297703,8
nation,England,E92000001,2020-09-01,1927,295084,2
nation,England,E92000001,2020-08-31,1259,293157,7
nation,England,E92000001,2020-08-30,978,291898,6
nation,England,E92000001,2020-08-29,1041,290920,5
nation,England,E92000001,2020-08-28,1382,289879,8
nation,England,E92000001,2020-08-27,1324,288497,8
nation,England,E92000001,2020-08-26,1137,287173,11
nation,England,E92000001,2020-08-25,1060,286036,11
nation,England,E92000001,2020-08-24,1131,284976,5
nation,England,E92000001,2020-08-23,694,283845,13
nation,England,E92000001,2020-08-22,714,283151,6
nation,England,E92000001,2020-08-21,1007,282437,7
nation,England,E92000001,2020-08-20,1220,281430,8
nation,England,E92000001,2020-08-19,1072,280210,2
nation,England,E92000001,2020-08-18,925,279138,7
nation,England,E92000001,2020-08-17,1137,278213,12
nation,England,E92000001,2020-08-16,529,277076,4
