areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2022-01-05,38013,11858941,42
nation,England,E92000001,2022-01-04,125174,11820928,97
nation,England,E92000001,2022-01-03,148978,11695754,101
nation,England,E92000001,2022-01-02,126123,11546776,99
nation,England,E92000001,2022-01-01,86765,11420653,108
nation,England,E92000001,2021-12-31,131540,11333888,102
nation,England,E92000001,2021-12-30,169020,11202348,146
nation,England,E92000001,2021-12-29,198201,11033328,87
nation,England,E92000001,2021-12-28,152199,10835127,127
nation,England,E92000001,2021-12-27,139321,10682928,106
nation,England,E92000001,2021-12-26,89461,10543607,96
nation,England,E92000001,2021-12-25,54569,10454146,83
nation,England,E92000001,2021-12-24,105859,10399577,102
nation,England,E92000001,2021-12-23,122841,10293718,111
nation,England,E92000001,2021-12-22,123827,10170877,108
nation,England,E92000001,2021-12-21,116309,10047050,81
nation,England,E92000001,2021-12-20,106196,9930741,98
nation,England,E92000001,2021-12-19,71379,9824545,85
nation,England,E92000001,2021-12-18,71863,9753166,88
nation,England,E92000001,2021-12-17,77145,9681303,110
nation,England,E92000001,2021-12-16,85335,9604158,88
nation,England,E92000001,2021-12-15,90941,9518823,91
nation,England,E92000001,2021-12-14,83329,9427882,110
nation,England,E92000001,2021-12-13,71363,9344553,88
nation,England,E92000001,2021-12-12,43846,9273190,103
nation,England,E92000001,2021-12-11,39942,9229344,75
nation,England,E92000001,2021-12-10,42919,9189402,88
nation,England,E92000001,2021-12-09,46639,9146483,97
nation,England,E92000001,2021-12-08,47875,9099844,92
nation,England,E92000001,2021-12-07,46255,9051969,93
nation,England,E92000001,2021-12-06,49371,9005714,109
nation,England,E92000001,2021-12-05,33974,8956343,90
nation,England,E92000001,2021-12-04,32417,8922369,117
nation,England,E92000001,2021-12-03,38182,8889952,108
nation,England,E92000001,2021-12-02,41947,8851770,84
nation,England,E92000001,2021-12-01,46043,8809823,103
nation,England,E92000001,2021-11-30,46452,8763780,85
nation,England,E92000001,2021-11-29,46727,8717328,105
nation,England,E92000001,2021-11-28,33063,8670601,89
nation,England,E92000001,2021-11-27,27812,8637538,85
nation,England,E92000001,2021-11-26,32905,8609726,107
nation,England,E92000001,2021-11-25,36265,8576821,108
nation,England,E92000001,2021-11-24,38923,8540556,95
nation,England,E92000001,2021-11-23,40105,8501633,120
nation,England,E92000001,2021-11-22,41911,8461528,92
nation,England,E92000001,2021-11-21,31045,8419617,86
nation,England,E92000001,2021-11-20,29217,8388572,99
nation,England,E92000001,2021-11-19,32473,8359355,102
nation,England,E92000001,2021-11-18,36236,8326882,112
nation,England,E92000001,2021-11-17,37430,8290646,98
nation,England,E92000001,2021-11-16,37692,8253216,130
nation,England,E92000001,2021-11-15,41530,8215524,136
nation,England,E92000001,2021-11-14,28916,8173994,100
nation,England,E92000001,2021-11-13,26809,8145078,111
nation,England,E92000001,2021-11-12,30574,8118269,117
nation,England,E92000001,2021-11-11,32907,8087695,121
nation,England,E92000001,2021-11-10,34570,8054788,119
nation,England,E92000001,2021-11-09,33890,8020218,123
nation,England,E92000001,2021-11-08,35298,7986328,126
nation,England,E92000001,2021-11-07,24884,7951030,134
nation,England,E92000001,2021-11-06,22070,7926146,137
