areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-02-08,2631,3480147,168
nation,England,E92000001,2021-02-07,8779,3477516,339
nation,England,E92000001,2021-02-06,9797,3468737,394
nation,England,E92000001,2021-02-05,13788,3458940,511
nation,England,E92000001,2021-02-04,16035,3445152,569
nation,England,E92000001,2021-02-03,17379,3429117,677
nation,England,E92000001,2021-02-02,17638,3411738,677
nation,England,E92000001,2021-02-01,20142,3394100,733
nation,England,E92000001,2021-01-31,13755,3373958,739
nation,England,E92000001,2021-01-30,14996,3360203,768
nation,England,E92000001,2021-01-29,19713,3345207,898
nation,England,E92000001,2021-01-28,21888,3325494,986
nation,England,E92000001,2021-01-27,23281,3303606,987
nation,England,E92000001,2021-01-26,24493,3280325,943
nation,England,E92000001,2021-01-25,27178,3255832,1056
nation,England,E92000001,2021-01-24,15502,3228654,1017
nation,England,E92000001,2021-01-23,19913,3213152,1035
nation,England,E92000001,2021-01-22,26972,3193239,1105
nation,England,E92000001,2021-01-21,28821,3166267,1129
nation,England,E92000001,2021-01-20,31818,3137446,1151
nation,England,E92000001,2021-01-19,36032,3105628,1231
nation,England,E92000001,2021-01-18,40787,3069596,1161
nation,England,E92000001,2021-01-17,26234,3028809,1158
nation,England,E92000001,2021-01-16,27674,3002575,1158
nation,England,E92000001,2021-01-15,36813,2974901,1096
nation,England,E92000001,2021-01-14,38571,2938088,1076
nation,England,E92000001,2021-01-13,41207,2899517,1096
nation,England,E92000001,2021-01-12,44739,2858310,1085
nation,England,E92000001,2021-01-11,52084,2813571,1007
nation,England,E92000001,2021-01-10,32865,2761487,972
nation,England,E92000001,2021-01-09,35446,2728622,922
nation,England,E92000001,2021-01-08,42369,2693176,885
nation,England,E92000001,2021-01-07,46869,2650807,883
nation,England,E92000001,2021-01-06,51347,2603938,820
nation,England,E92000001,2021-01-05,58097,2552591,819
nation,England,E92000001,2021-01-04,69116,2494494,752
nation,England,E92000001,2021-01-03,49543,2425378,648
nation,England,E92000001,2021-01-02,54195,2375835,666
nation,England,E92000001,2021-01-01,28214,2321640,640
nation,England,E92000001,2020-12-31,46679,2293426,649
nation,England,E92000001,2020-12-30,62912,2246747,623
nation,England,E92000001,2020-12-29,72525,2183835,580
nation,England,E92000001,2020-12-28,40036,2111310,586
nation,England,E92000001,2020-12-27,42455,2071274,568
nation,England,E92000001,2020-12-26,36690,2028819,566
nation,England,E92000001,2020-12-25,12674,1992129,536
nation,England,E92000001,2020-12-24,28722,1979455,487
nation,England,E92000001,2020-12-23,37708,1950733,482
nation,England,E92000001,2020-12-22,40924,1913025,490
nation,England,E92000001,2020-12-21,42614,1872101,495
nation,England,E92000001,2020-12-20,28952,1829487,428
nation,England,E92000001,2020-12-19,21741,1800535,410
nation,England,E92000001,2020-12-18,31846,1778794,433
nation,England,E92000001,2020-12-17,29603,1746948,436
nation,England,E92000001,2020-12-16,30127,1717345,356
nation,England,E92000001,2020-12-15,29118,1687218,385
nation,England,E92000001,2020-12-14,29526,1658100,412
nation,England,E92000001,2020-12-13,18132,1628574,366
nation,England,E92000001,2020-12-12,16039,1610442,375
nation,England,E92000001,2020-12-11,19886,1594403,396
nation,England,E92000001,2020-12-10,18566,1574517,379
nation,England,E92000001,2020-12-09,17504,1555951,370
nation,England,E92000001,2020-12-08,16687,1538447,373
nation,England,E92000001,2020-12-07,17413,1521760,355
nation,England,E92000001,2020-12-06,10899,1504347,353
nation,England,E92000001,2020-12-05,10182,1493448,345
nation,England,E92000001,2020-12-04,12907,1483266,414
nation,England,E92000001,2020-12-03,12543,1470359,403
nation,England,E92000001,2020-12-02,13452,1457816,337
nation,England,E92000001,2020-12-01,13521,1444364,350
nation,England,E92000001,2020-11-30,15048,1430843,361
nation,England,E92000001,2020-11-29,8912,1415795,401
nation,England,E92000001,2020-11-28,9202,1406883,382
nation,England,E92000001,2020-11-27,12275,1397681,362
nation,England,E92000001,2020-11-26,12275,1385406,372
nation,England,E92000001,2020-11-25,13928,1373131,424
nation,England,E92000001,2020-11-24,14035,1359203,402
nation,England,E92000001,2020-11-23,16208,1345168,398
nation,England,E92000001,2020-11-22,10043,1328960,406
nation,England,E92000001,2020-11-21,10614,1318917,396
nation,England,E92000001,2020-11-20,14691,1308303,387
nation,England,E92000001,2020-11-19,15504,1293612,396
nation,England,E92000001,2020-11-18,18229,1278108,437
nation,England,E92000001,2020-11-17,20349,1259879,362
nation,England,E92000001,2020-11-16,23725,1239530,358
nation,England,E92000001,2020-11-15,14229,1215805,380
nation,England,E92000001,2020-11-14,16036,1201576,357
nation,England,E92000001,2020-11-13,21658,1185540,356
nation,England,E92000001,2020-11-12,21967,1163882,350
nation,England,E92000001,2020-11-11,24645,1141915,310
nation,England,E92000001,2020-11-10,24486,1117270,318
nation,England,E92000001,2020-11-09,28104,1092784,403
nation,England,E92000001,2020-11-08,17969,1064680,339
nation,England,E92000001,2020-11-07,16623,1046711,333
nation,England,E92000001,2020-11-06,20824,1030088,335
nation,England,E92000001,2020-11-05,20883,1009264,299
nation,England,E92000001,2020-11-04,20699,988381,278
nation,England,E92000001,2020-11-03,22313,967682,293
nation,England,E92000001,2020-11-02,27925,945369,281
nation,England,E92000001,2020-11-01,13369,917444,286
nation,England,E92000001,2020-10-31,14357,904075,276
nation,England,E92000001,2020-10-30,19653,889718,281
nation,England,E92000001,2020-10-29,19982,870065,248
nation,England,E92000001,2020-10-28,20234,850083,238
nation,England,E92000001,2020-10-27,20503,829849,218
