areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-06-01,1465,3921939,2
nation,England,E92000001,2021-05-31,2798,3920474,3
nation,England,E92000001,2021-05-30,2430,3917676,4
nation,England,E92000001,2021-05-29,2309,3915246,2
nation,England,E92000001,2021-05-28,2785,3912937,3
nation,England,E92000001,2021-05-27,2930,3910152,5
nation,England,E92000001,2021-05-26,3042,3907222,9
nation,England,E92000001,2021-05-25,2654,3904180,3
nation,England,E92000001,2021-05-24,2596,3901526,7
nation,England,E92000001,2021-05-23,1827,3898930,4
nation,England,E92000001,2021-05-22,1532,3897103,4
nation,England,E92000001,2021-05-21,1791,3895571,6
nation,England,E92000001,2021-05-20,1916,3893780,4
nation,England,E92000001,2021-05-19,2167,3891864,3
nation,England,E92000001,2021-05-18,2135,3889697,3
nation,England,E92000001,2021-05-17,2236,3887562,5
nation,England,E92000001,2021-05-16,1521,3885326,6
nation,England,E92000001,2021-05-15,1256,3883805,7
nation,England,E92000001,2021-05-14,1453,3882549,3
nation,England,E92000001,2021-05-13,1651,3881096,3
nation,England,E92000001,2021-05-12,1764,3879445,9
nation,England,E92000001,2021-05-11,1739,3877681,13
nation,England,E92000001,2021-05-10,2165,3875942,8
nation,England,E92000001,2021-05-09,1844,3873777,7
nation,England,E92000001,2021-05-08,1202,3871933,8
nation,England,E92000001,2021-05-07,1541,3870731,8
nation,England,E92000001,2021-05-06,1793,3869190,7
nation,England,E92000001,2021-05-05,2034,3867397,12
nation,England,E92000001,2021-05-04,2038,3865363,9
nation,England,E92000001,2021-05-03,1691,3863325,8
nation,England,E92000001,2021-05-02,1210,3861634,10
nation,England,E92000001,2021-05-01,1122,3860424,7
nation,England,E92000001,2021-04-30,1405,3859302,8
nation,England,E92000001,2021-04-29,1762,3857897,11
nation,England,E92000001,2021-04-28,2018,3856135,13
nation,England,E92000001,2021-04-27,1693,3854117,10
nation,England,E92000001,2021-04-26,2082,3852424,8
nation,England,E92000001,2021-04-25,1773,3850342,12
nation,England,E92000001,2021-04-24,1204,3848569,7
nation,England,E92000001,2021-04-23,1575,3847365,17
nation,England,E92000001,2021-04-22,1878,3845790,14
nation,England,E92000001,2021-04-21,2122,3843912,17
nation,England,E92000001,2021-04-20,1937,3841790,17
nation,England,E92000001,2021-04-19,2124,3839853,15
nation,England,E92000001,2021-04-18,2131,3837729,14
