areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2022-03-20,40445,17117061,2
nation,England,E92000001,2022-03-19,52482,17076616,7
nation,England,E92000001,2022-03-18,59934,17024134,27
nation,England,E92000001,2022-03-17,66334,16964200,66
nation,England,E92000001,2022-03-16,73074,16897866,74
nation,England,E92000001,2022-03-15,73569,16824792,71
nation,England,E92000001,2022-03-14,79107,16751223,86
nation,England,E92000001,2022-03-13,60063,16672116,79
nation,England,E92000001,2022-03-12,49006,16612053,83
nation,England,E92000001,2022-03-11,52146,16563047,75
nation,England,E92000001,2022-03-10,54129,16510901,74
nation,England,E92000001,2022-03-09,55359,16456772,83
nation,England,E92000001,2022-03-08,52221,16401413,78
nation,England,E92000001,2022-03-07,50919,16349192,72
nation,England,E92000001,2022-03-06,35863,16298273,65
nation,England,E92000001,2022-03-05,28465,16262410,76
nation,England,E92000001,2022-03-04,30536,16233945,67
nation,England,E92000001,2022-03-03,31471,16203409,88
nation,England,E92000001,2022-03-02,33314,16171938,83
nation,England,E92000001,2022-03-01,31794,16138624,73
nation,England,E92000001,2022-02-28,31816,16106830,73
nation,England,E92000001,2022-02-27,22150,16075014,69
nation,England,E92000001,2022-02-26,17567,16052864,73
nation,England,E92000001,2022-02-25,19483,16035297,80
nation,England,E92000001,2022-02-24,21756,16015814,90
nation,England,E92000001,2022-02-23,25837,15994058,67
nation,England,E92000001,2022-02-22,27852,15968221,76
nation,England,E92000001,2022-02-21,32975,15940369,84
nation,England,E92000001,2022-02-20,28345,15907394,108
nation,England,E92000001,2022-02-19,26367,15879049,94
nation,England,E92000001,2022-02-18,24883,15852682,90
nation,England,E92000001,2022-02-17,34002,15827799,103
nation,England,E92000001,2022-02-16,39223,15793797,118
nation,England,E92000001,2022-02-15,39944,15754574,121
nation,England,E92000001,2022-02-14,42378,15714630,130
nation,England,E92000001,2022-02-13,32308,15672252,123
nation,England,E92000001,2022-02-12,29026,15639944,128
nation,England,E92000001,2022-02-11,34832,15610918,119
nation,England,E92000001,2022-02-10,41119,15576086,142
nation,England,E92000001,2022-02-09,50660,15534967,136
nation,England,E92000001,2022-02-08,54982,15484307,142
nation,England,E92000001,2022-02-07,62302,15429325,141
nation,England,E92000001,2022-02-06,50023,15367023,162
nation,England,E92000001,2022-02-05,43101,15317000,175
nation,England,E92000001,2022-02-04,52430,15273899,161
nation,England,E92000001,2022-02-03,63950,15221469,193
nation,England,E92000001,2022-02-02,73806,15157519,205
nation,England,E92000001,2022-02-01,78161,15083713,220
nation,England,E92000001,2022-01-31,88345,15005552,218
nation,England,E92000001,2022-01-30,74800,14917207,214
nation,England,E92000001,2022-01-29,62978,14842407,237
nation,England,E92000001,2022-01-28,71648,14779429,221
nation,England,E92000001,2022-01-27,82662,14707781,261
nation,England,E92000001,2022-01-26,93179,14625119,236
nation,England,E92000001,2022-01-25,96876,14531940,209
nation,England,E92000001,2022-01-24,109115,14435064,250
nation,England,E92000001,2022-01-23,88504,14325949,224
nation,England,E92000001,2022-01-22,70398,14237445,253
nation,England,E92000001,2022-01-21,78949,14167047,274
nation,England,E92000001,2022-01-20,86863,14088098,227
nation,England,E92000001,2022-01-19,97224,14001235,242
nation,England,E92000001,2022-01-18,103123,13904011,248
nation,England,E92000001,2022-01-17,114643,13800888,258
nation,England,E92000001,2022-01-16,85503,13686245,248
nation,England,E92000001,2022-01-15,67733,13600742,254
nation,England,E92000001,2022-01-14,75072,13533009,247
nation,England,E92000001,2022-01-13,84027,13457937,233
nation,England,E92000001,2022-01-12,89924,13373910,222
nation,England,E92000001,2022-01-11,100908,13283986,247
nation,England,E92000001,2022-01-10,116052,13183078,249
nation,England,E92000001,2022-01-09,82982,13067026,233
nation,England,E92000001,2022-01-08,81161,12984044,218
nation,England,E92000001,2022-01-07,105027,12902883,229
nation,England,E92000001,2022-01-06,150685,12797856,222
nation,England,E92000001,2022-01-05,183715,12647171,194
nation,England,E92000001,2022-01-04,234819,12463456,180
nation,England,E92000001,2022-01-03,193539,12228637,160
nation,England,E92000001,2022-01-02,148558,12035098,156
nation,England,E92000001,2022-01-01,99204,11886540,163
nation,England,E92000001,2021-12-31,152824,11787336,148
nation,England,E92000001,2021-12-30,192785,11634512,174
nation,England,E92000001,2021-12-29,223976,11441727,103
nation,England,E92000001,2021-12-28,170535,11217751,146
nation,England,E92000001,2021-12-27,155524,11047216,124
nation,England,E92000001,2021-12-26,98889,10891692,108
nation,England,E92000001,2021-12-25,59903,10792803,91
nation,England,E92000001,2021-12-24,117553,10732900,115
nation,England,E92000001,2021-12-23,137010,10615347,122
nation,England,E92000001,2021-12-22,138110,10478337,115
nation,England,E92000001,2021-12-21,129574,10340227,88
nation,England,E92000001,2021-12-20,117554,10210653,101
nation,England,E92000001,2021-12-19,78488,10093099,90
nation,England,E92000001,2021-12-18,78920,10014611,92
nation,England,E92000001,2021-12-17,84937,9935691,113
nation,England,E92000001,2021-12-16,93784,9850754,89
nation,England,E92000001,2021-12-15,99624,9756970,95
nation,England,E92000001,2021-12-14,90681,9657346,110
nation,England,E92000001,2021-12-13,76489,9566665,92
nation,England,E92000001,2021-12-12,46348,9490176,105
nation,England,E92000001,2021-12-11,41935,9443828,79
nation,England,E92000001,2021-12-10,45008,9401893,93
nation,England,E92000001,2021-12-09,48816,9356885,103
nation,England,E92000001,2021-12-08,50030,9308069,97
nation,England,E92000001,2021-12-07,48117,9258039,94
nation,England,E92000001,2021-12-06,51093,9209922,112
nation,England,E92000001,2021-12-05,34999,9158829,91
nation,England,E92000001,2021-12-04,33375,9123830,118
nation,England,E92000001,2021-12-03,39214,9090455,111
nation,England,E92000001,2021-12-02,43028,9051241,84
nation,England,E92000001,2021-12-01,47251,9008213,104
nation,England,E92000001,2021-11-30,47622,8960962,88
nation,England,E92000001,2021-11-29,47933,8913340,107
nation,England,E92000001,2021-11-28,33843,8865407,91
nation,England,E92000001,2021-11-27,28446,8831564,87
nation,England,E92000001,2021-11-26,33660,8803118,107
nation,England,E92000001,2021-11-25,37127,8769458,111
nation,England,E92000001,2021-11-24,39868,8732331,98
nation,England,E92000001,2021-11-23,40999,8692463,120
nation,England,E92000001,2021-11-22,42856,8651464,93
nation,England,E92000001,2021-11-21,31756,8608608,89
nation,England,E92000001,2021-11-20,29858,8576852,100
nation,England,E92000001,2021-11-19,33166,8546994,104
nation,England,E92000001,2021-11-18,37087,8513828,113
nation,England,E92000001,2021-11-17,38250,8476741,99
nation,England,E92000001,2021-11-16,38644,8438491,130
nation,England,E92000001,2021-11-15,42474,8399847,137
nation,England,E92000001,2021-11-14,29572,8357373,103
nation,England,E92000001,2021-11-13,27352,8327801,110
nation,England,E92000001,2021-11-12,31331,8300449,118
nation,England,E92000001,2021-11-11,33686,8269118,121
nation,England,E92000001,2021-11-10,35374,8235432,118
nation,England,E92000001,2021-11-09,34669,8200058,125
nation,England,E92000001,2021-11-08,36133,8165389,128
nation,England,E92000001,2021-11-07,25443,8129256,135
nation,England,E92000001,2021-11-06,22575,8103813,138
nation,England,E92000001,2021-11-05,24400,8081238,126
nation,England,E92000001,2021-11-04,27369,8056838,120
nation,England,E92000001,2021-11-03,29382,8029469,129
nation,England,E92000001,2021-11-02,31315,8000087,128
nation,England,E92000001,2021-11-01,37656,7968772,137
nation,England,E92000001,2021-10-31,29544,7931116,155
nation,England,E92000001,2021-10-30,28230,7901572,133
nation,England,E92000001,2021-10-29,33983,7873342,130
nation,England,E92000001,2021-10-28,35060,7839359,154
nation,England,E92000001,2021-10-27,36514,7804299,134
nation,England,E92000001,2021-10-26,35260,7767785,131
nation,England,E92000001,2021-10-25,39939,7732525,115
nation,England,E92000001,2021-10-24,30083,7692586,119
nation,England,E92000001,2021-10-23,29740,7662503,132
nation,England,E92000001,2021-10-22,34500,7632763,104
nation,England,E92000001,2021-10-21,38580,7598263,114
nation,England,E92000001,2021-10-20,43952,7559683,119
nation,England,E92000001,2021-10-19,44612,7515731,103
nation,England,E92000001,2021-10-18,49242,7471119,95
nation,England,E92000001,2021-10-17,37495,7421877,104
nation,England,E92000001,2021-10-16,31633,7384382,97
nation,England,E92000001,2021-10-15,36617,7352749,107
nation,England,E92000001,2021-10-14,39254,7316132,110
nation,England,E92000001,2021-10-13,40537,7276878,89
nation,England,E92000001,2021-10-12,40868,7236341,87
nation,England,E92000001,2021-10-11,43096,7195473,93
nation,England,E92000001,2021-10-10,31487,7152377,70
nation,England,E92000001,2021-10-09,27170,7120890,92
nation,England,E92000001,2021-10-08,29833,7093720,96
nation,England,E92000001,2021-10-07,32155,7063887,92
nation,England,E92000001,2021-10-06,32538,7031732,76
nation,England,E92000001,2021-10-05,32253,6999194,87
nation,England,E92000001,2021-10-04,36469,6966941,82
nation,England,E92000001,2021-10-03,27130,6930472,75
nation,England,E92000001,2021-10-02,21866,6903342,75
nation,England,E92000001,2021-10-01,24126,6881476,98
nation,England,E92000001,2021-09-30,26791,6857350,81
nation,England,E92000001,2021-09-29,28671,6830559,85
nation,England,E92000001,2021-09-28,29619,6801888,79
nation,England,E92000001,2021-09-27,34585,6772269,79
nation,England,E92000001,2021-09-26,26795,6737684,68
nation,England,E92000001,2021-09-25,23382,6710889,92
nation,England,E92000001,2021-09-24,25741,6687507,92
nation,England,E92000001,2021-09-23,28325,6661766,104
nation,England,E92000001,2021-09-22,28781,6633441,106
nation,England,E92000001,2021-09-21,30534,6604660,93
nation,England,E92000001,2021-09-20,32109,6574126,105
nation,England,E92000001,2021-09-19,24787,6542017,90
nation,England,E92000001,2021-09-18,20920,6517230,94
nation,England,E92000001,2021-09-17,22360,6496310,127
nation,England,E92000001,2021-09-16,22158,6473950,114
nation,England,E92000001,2021-09-15,22374,6451792,104
nation,England,E92000001,2021-09-14,22623,6429418,118
nation,England,E92000001,2021-09-13,25191,6406795,72
nation,England,E92000001,2021-09-12,17872,6381604,106
nation,England,E92000001,2021-09-11,16954,6363732,105
nation,England,E92000001,2021-09-10,21017,6346778,110
nation,England,E92000001,2021-09-09,24430,6325761,132
nation,England,E92000001,2021-09-08,25649,6301331,115
nation,England,E92000001,2021-09-07,27928,6275682,124
nation,England,E92000001,2021-09-06,33121,6247754,122
nation,England,E92000001,2021-09-05,23453,6214633,118
nation,England,E92000001,2021-09-04,23402,6191180,112
nation,England,E92000001,2021-09-03,28722,6167778,125
nation,England,E92000001,2021-09-02,30617,6139056,101
nation,England,E92000001,2021-09-01,31583,6108439,96
nation,England,E92000001,2021-08-31,33557,6076856,95
nation,England,E92000001,2021-08-30,24953,6043299,91
nation,England,E92000001,2021-08-29,19147,6018346,107
nation,England,E92000001,2021-08-28,20129,5999199,105
nation,England,E92000001,2021-08-27,24241,5979070,106
nation,England,E92000001,2021-08-26,26475,5954829,105
nation,England,E92000001,2021-08-25,27892,5928354,88
nation,England,E92000001,2021-08-24,28199,5900462,104
nation,England,E92000001,2021-08-23,30326,5872263,97
nation,England,E92000001,2021-08-22,22393,5841937,104
nation,England,E92000001,2021-08-21,22584,5819544,89
nation,England,E92000001,2021-08-20,25547,5796960,101
nation,England,E92000001,2021-08-19,29063,5771413,93
nation,England,E92000001,2021-08-18,31422,5742350,82
nation,England,E92000001,2021-08-17,31084,5710928,98
nation,England,E92000001,2021-08-16,30849,5679844,77
nation,England,E92000001,2021-08-15,21274,5648995,74
nation,England,E92000001,2021-08-14,21336,5627721,82
nation,England,E92000001,2021-08-13,24986,5606385,90
nation,England,E92000001,2021-08-12,27685,5581399,92
nation,England,E92000001,2021-08-11,29131,5553714,80
nation,England,E92000001,2021-08-10,27606,5524583,69
nation,England,E92000001,2021-08-09,28287,5496977,70
nation,England,E92000001,2021-08-08,20153,5468690,66
nation,England,E92000001,2021-08-07,19983,5448537,85
nation,England,E92000001,2021-08-06,24872,5428554,80
nation,England,E92000001,2021-08-05,28126,5403682,91
nation,England,E92000001,2021-08-04,28894,5375556,71
nation,England,E92000001,2021-08-03,27034,5346662,66
nation,England,E92000001,2021-08-02,26574,5319628,68
nation,England,E92000001,2021-08-01,18628,5293054,75
nation,England,E92000001,2021-07-31,18448,5274426,77
nation,England,E92000001,2021-07-30,22105,5255978,94
nation,England,E92000001,2021-07-29,25358,5233873,68
nation,England,E92000001,2021-07-28,26923,5208515,72
nation,England,E92000001,2021-07-27,26019,5181592,59
nation,England,E92000001,2021-07-26,26536,5155573,67
nation,England,E92000001,2021-07-25,19642,5129037,64
nation,England,E92000001,2021-07-24,20272,5109395,65
nation,England,E92000001,2021-07-23,24533,5089123,72
nation,England,E92000001,2021-07-22,27707,5064590,65
nation,England,E92000001,2021-07-21,31663,5036883,45
nation,England,E92000001,2021-07-20,35940,5005220,49
nation,England,E92000001,2021-07-19,43387,4969280,70
nation,England,E92000001,2021-07-18,33162,4925893,57
nation,England,E92000001,2021-07-17,35278,4892731,44
nation,England,E92000001,2021-07-16,51136,4857453,41
nation,England,E92000001,2021-07-15,57579,4806317,44
nation,England,E92000001,2021-07-14,50317,4748738,33
nation,England,E92000001,2021-07-13,43243,4698421,38
nation,England,E92000001,2021-07-12,40471,4655178,34
nation,England,E92000001,2021-07-11,27417,4614707,26
nation,England,E92000001,2021-07-10,25405,4587290,33
nation,England,E92000001,2021-07-09,29045,4561885,39
nation,England,E92000001,2021-07-08,29908,4532840,30
nation,England,E92000001,2021-07-07,34270,4502932,23
nation,England,E92000001,2021-07-06,31607,4468662,19
nation,England,E92000001,2021-07-05,30193,4437055,24
nation,England,E92000001,2021-07-04,21790,4406862,23
nation,England,E92000001,2021-07-03,20634,4385072,24
nation,England,E92000001,2021-07-02,22288,4364438,25
nation,England,E92000001,2021-07-01,24267,4342150,22
nation,England,E92000001,2021-06-30,23940,4317883,20
nation,England,E92000001,2021-06-29,23250,4293943,20
nation,England,E92000001,2021-06-28,23511,4270693,10
nation,England,E92000001,2021-06-27,15407,4247182,19
nation,England,E92000001,2021-06-26,13485,4231775,9
nation,England,E92000001,2021-06-25,14901,4218290,21
nation,England,E92000001,2021-06-24,15081,4203389,21
nation,England,E92000001,2021-06-23,14805,4188308,6
nation,England,E92000001,2021-06-22,13564,4173503,9
nation,England,E92000001,2021-06-21,12706,4159939,13
nation,England,E92000001,2021-06-20,8203,4147233,22
nation,England,E92000001,2021-06-19,7125,4139030,19
nation,England,E92000001,2021-06-18,8772,4131905,10
nation,England,E92000001,2021-06-17,9523,4123133,5
nation,England,E92000001,2021-06-16,9410,4113610,12
nation,England,E92000001,2021-06-15,9148,4104200,15
nation,England,E92000001,2021-06-14,8941,4095052,9
nation,England,E92000001,2021-06-13,6074,4086111,7
nation,England,E92000001,2021-06-12,5422,4080037,14
nation,England,E92000001,2021-06-11,6510,4074615,6
nation,England,E92000001,2021-06-10,6717,4068105,9
nation,England,E92000001,2021-06-09,6918,4061388,6
nation,England,E92000001,2021-06-08,6630,4054470,9
nation,England,E92000001,2021-06-07,6790,4047840,5
nation,England,E92000001,2021-06-06,4729,4041050,7
nation,England,E92000001,2021-06-05,3964,4036321,6
nation,England,E92000001,2021-06-04,4883,4032357,11
nation,England,E92000001,2021-06-03,5129,4027474,10
nation,England,E92000001,2021-06-02,5039,4022345,12
nation,England,E92000001,2021-06-01,4515,4017306,3
nation,England,E92000001,2021-05-31,3170,4012791,8
nation,England,E92000001,2021-05-30,2598,4009621,8
nation,England,E92000001,2021-05-29,2461,4007023,7
nation,England,E92000001,2021-05-28,2929,4004562,6
nation,England,E92000001,2021-05-27,3075,4001633,8
nation,England,E92000001,2021-05-26,3178,3998558,12
nation,England,E92000001,2021-05-25,2797,3995380,6
nation,England,E92000001,2021-05-24,2749,3992583,8
nation,England,E92000001,2021-05-23,1918,3989834,8
nation,England,E92000001,2021-05-22,1606,3987916,3
nation,England,E92000001,2021-05-21,1870,3986310,9
nation,England,E92000001,2021-05-20,2000,3984440,6
