areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-03-09,1444,3707999,33
nation,England,E92000001,2021-03-08,4861,3706555,95
nation,England,E92000001,2021-03-07,3414,3701694,80
nation,England,E92000001,2021-03-06,3611,3698280,101
nation,England,E92000001,2021-03-05,4621,3694669,121
nation,England,E92000001,2021-03-04,4827,3690048,113
nation,England,E92000001,2021-03-03,5136,3685221,116
nation,England,E92000001,2021-03-02,5700,3680085,145
nation,England,E92000001,2021-03-01,5945,3674385,191
nation,England,E92000001,2021-02-28,3982,3668440,192
nation,England,E92000001,2021-02-27,4119,3664458,190
nation,England,E92000001,2021-02-26,5699,3660339,185
nation,England,E92000001,2021-02-25,6654,3654640,216
nation,England,E92000001,2021-02-24,7309,3647986,233
nation,England,E92000001,2021-02-23,8196,3640677,249
nation,England,E92000001,2021-02-22,9942,3632481,234
nation,England,E92000001,2021-02-21,6825,3622539,282
nation,England,E92000001,2021-02-20,6915,3615714,296
nation,England,E92000001,2021-02-19,8930,3608799,314
nation,England,E92000001,2021-02-18,9928,3599869,366
nation,England,E92000001,2021-02-17,10055,3589941,380
nation,England,E92000001,2021-02-16,10850,3579886,396
nation,England,E92000001,2021-02-15,12520,3569036,456
nation,England,E92000001,2021-02-14,7572,3556516,431
nation,England,E92000001,2021-02-13,7768,3548944,427
nation,England,E92000001,2021-02-12,10602,3541176,450
nation,England,E92000001,2021-02-11,11296,3530574,508
nation,England,E92000001,2021-02-10,11895,3519278,538
nation,England,E92000001,2021-02-09,12300,3507383,531
nation,England,E92000001,2021-02-08,13932,3495083,614
nation,England,E92000001,2021-02-07,10196,3481151,564
nation,England,E92000001,2021-02-06,10610,3470955,604
nation,England,E92000001,2021-02-05,14038,3460345,673
nation,England,E92000001,2021-02-04,16232,3446307,651
nation,England,E92000001,2021-02-03,17476,3430075,775
nation,England,E92000001,2021-02-02,17731,3412599,757
nation,England,E92000001,2021-02-01,20190,3394868,797
nation,England,E92000001,2021-01-31,13775,3374678,810
nation,England,E92000001,2021-01-30,15019,3360903,830
nation,England,E92000001,2021-01-29,19739,3345884,938
nation,England,E92000001,2021-01-28,21912,3326145,1016
nation,England,E92000001,2021-01-27,23317,3304233,1003
nation,England,E92000001,2021-01-26,24508,3280916,962
nation,England,E92000001,2021-01-25,27199,3256408,1070
nation,England,E92000001,2021-01-24,15511,3229209,1037
nation,England,E92000001,2021-01-23,19926,3213698,1054
nation,England,E92000001,2021-01-22,26984,3193772,1121
nation,England,E92000001,2021-01-21,28813,3166788,1129
nation,England,E92000001,2021-01-20,31825,3137975,1169
nation,England,E92000001,2021-01-19,36040,3106150,1246
nation,England,E92000001,2021-01-18,40803,3070110,1171
nation,England,E92000001,2021-01-17,26246,3029307,1165
nation,England,E92000001,2021-01-16,27682,3003061,1164
nation,England,E92000001,2021-01-15,36835,2975379,1097
nation,England,E92000001,2021-01-14,38580,2938544,1082
nation,England,E92000001,2021-01-13,41215,2899964,1099
nation,England,E92000001,2021-01-12,44739,2858749,1088
nation,England,E92000001,2021-01-11,52103,2814010,1009
nation,England,E92000001,2021-01-10,32874,2761907,975
nation,England,E92000001,2021-01-09,35466,2729033,923
nation,England,E92000001,2021-01-08,42395,2693567,885
nation,England,E92000001,2021-01-07,46882,2651172,884
nation,England,E92000001,2021-01-06,51363,2604290,826
nation,England,E92000001,2021-01-05,58108,2552927,821
nation,England,E92000001,2021-01-04,69156,2494819,754
nation,England,E92000001,2021-01-03,49538,2425663,652
nation,England,E92000001,2021-01-02,54216,2376125,665
nation,England,E92000001,2021-01-01,28229,2321909,641
nation,England,E92000001,2020-12-31,46718,2293680,649
nation,England,E92000001,2020-12-30,62926,2246962,621
nation,England,E92000001,2020-12-29,72548,2184036,580
nation,England,E92000001,2020-12-28,40047,2111488,588
nation,England,E92000001,2020-12-27,42470,2071441,569
nation,England,E92000001,2020-12-26,36699,2028971,567
nation,England,E92000001,2020-12-25,12677,1992272,535
nation,England,E92000001,2020-12-24,28730,1979595,486
nation,England,E92000001,2020-12-23,37710,1950865,481
nation,England,E92000001,2020-12-22,40938,1913155,491
nation,England,E92000001,2020-12-21,42622,1872217,495
nation,England,E92000001,2020-12-20,28964,1829595,428
nation,England,E92000001,2020-12-19,21756,1800631,413
nation,England,E92000001,2020-12-18,31848,1778875,432
nation,England,E92000001,2020-12-17,29606,1747027,438
nation,England,E92000001,2020-12-16,30138,1717421,355
nation,England,E92000001,2020-12-15,29123,1687283,386
nation,England,E92000001,2020-12-14,29532,1658160,411
nation,England,E92000001,2020-12-13,18134,1628628,366
nation,England,E92000001,2020-12-12,16033,1610494,374
nation,England,E92000001,2020-12-11,19893,1594461,396
nation,England,E92000001,2020-12-10,18574,1574568,379
nation,England,E92000001,2020-12-09,17510,1555994,373
nation,England,E92000001,2020-12-08,16687,1538484,374
nation,England,E92000001,2020-12-07,17423,1521797,358
nation,England,E92000001,2020-12-06,10903,1504374,354
nation,England,E92000001,2020-12-05,10199,1493471,342
nation,England,E92000001,2020-12-04,12927,1483272,413
nation,England,E92000001,2020-12-03,12548,1470345,403
nation,England,E92000001,2020-12-02,13462,1457797,337
nation,England,E92000001,2020-12-01,13525,1444335,348
nation,England,E92000001,2020-11-30,15053,1430810,363
nation,England,E92000001,2020-11-29,8913,1415757,401
nation,England,E92000001,2020-11-28,9202,1406844,383
nation,England,E92000001,2020-11-27,12279,1397642,361
nation,England,E92000001,2020-11-26,12272,1385363,370
nation,England,E92000001,2020-11-25,13923,1373091,426
nation,England,E92000001,2020-11-24,14032,1359168,403
nation,England,E92000001,2020-11-23,16203,1345136,400
nation,England,E92000001,2020-11-22,10042,1328933,406
nation,England,E92000001,2020-11-21,10618,1318891,395
nation,England,E92000001,2020-11-20,14687,1308273,389
nation,England,E92000001,2020-11-19,15510,1293586,397
nation,England,E92000001,2020-11-18,18231,1278076,435
nation,England,E92000001,2020-11-17,20347,1259845,364
nation,England,E92000001,2020-11-16,23727,1239498,359
nation,England,E92000001,2020-11-15,14225,1215771,381
nation,England,E92000001,2020-11-14,16037,1201546,358
nation,England,E92000001,2020-11-13,21664,1185509,357
nation,England,E92000001,2020-11-12,21962,1163845,351
nation,England,E92000001,2020-11-11,24650,1141883,311
