areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-04-13,636,3826495,3
nation,England,E92000001,2021-04-12,1909,3825859,16
nation,England,E92000001,2021-04-11,1783,3823950,12
nation,England,E92000001,2021-04-10,1659,3822167,15
nation,England,E92000001,2021-04-09,2268,3820508,15
nation,England,E92000001,2021-04-08,2464,3818240,25
nation,England,E92000001,2021-04-07,2569,3815776,20
nation,England,E92000001,2021-04-06,2545,3813207,17
nation,England,E92000001,2021-04-05,2154,3810662,10
nation,England,E92000001,2021-04-04,1894,3808508,22
nation,England,E92000001,2021-04-03,1977,3806614,26
nation,England,E92000001,2021-04-02,2110,3804637,18
nation,England,E92000001,2021-04-01,2863,3802527,25
nation,England,E92000001,2021-03-31,3121,3799664,35
nation,England,E92000001,2021-03-30,2917,3796543,35
nation,England,E92000001,2021-03-29,3185,3793626,25
nation,England,E92000001,2021-03-28,4074,3790441,25
nation,England,E92000001,2021-03-27,2924,3786367,28
nation,England,E92000001,2021-03-26,3611,3783443,41
nation,England,E92000001,2021-03-25,4440,3779832,37
nation,England,E92000001,2021-03-24,5107,3775392,30
nation,England,E92000001,2021-03-23,4333,3770285,47
nation,England,E92000001,2021-03-22,5139,3765952,57
nation,England,E92000001,2021-03-21,4515,3760813,67
nation,England,E92000001,2021-03-20,3363,3756298,61
nation,England,E92000001,2021-03-19,4135,3752935,52
nation,England,E92000001,2021-03-18,4522,3748800,52
nation,England,E92000001,2021-03-17,4849,3744278,64
nation,England,E92000001,2021-03-16,4742,3739429,65
nation,England,E92000001,2021-03-15,5437,3734687,87
nation,England,E92000001,2021-03-14,3582,3729250,78
nation,England,E92000001,2021-03-13,3449,3725668,93
nation,England,E92000001,2021-03-12,4611,3722219,82
nation,England,E92000001,2021-03-11,4691,3717608,107
nation,England,E92000001,2021-03-10,5001,3712917,94
nation,England,E92000001,2021-03-09,5209,3707916,114
nation,England,E92000001,2021-03-08,5562,3702707,123
nation,England,E92000001,2021-03-07,3529,3697145,112
nation,England,E92000001,2021-03-06,3698,3693616,128
nation,England,E92000001,2021-03-05,4554,3689918,155
nation,England,E92000001,2021-03-04,4790,3685364,131
nation,England,E92000001,2021-03-03,5096,3680574,126
nation,England,E92000001,2021-03-02,5679,3675478,151
nation,England,E92000001,2021-03-01,5891,3669799,192
nation,England,E92000001,2021-02-28,3953,3663908,198
nation,England,E92000001,2021-02-27,4103,3659955,194
nation,England,E92000001,2021-02-26,5666,3655852,192
nation,England,E92000001,2021-02-25,6612,3650186,222
nation,England,E92000001,2021-02-24,7290,3643574,237
nation,England,E92000001,2021-02-23,8143,3636284,251
nation,England,E92000001,2021-02-22,9851,3628141,243
nation,England,E92000001,2021-02-21,6799,3618290,284
nation,England,E92000001,2021-02-20,6889,3611491,298
nation,England,E92000001,2021-02-19,8879,3604602,316
nation,England,E92000001,2021-02-18,9903,3595723,366
nation,England,E92000001,2021-02-17,10025,3585820,381
nation,England,E92000001,2021-02-16,10817,3575795,396
nation,England,E92000001,2021-02-15,12464,3564978,458
nation,England,E92000001,2021-02-14,7529,3552514,434
nation,England,E92000001,2021-02-13,7734,3544985,429
nation,England,E92000001,2021-02-12,10562,3537251,452
nation,England,E92000001,2021-02-11,11225,3526689,507
nation,England,E92000001,2021-02-10,11840,3515464,539
nation,England,E92000001,2021-02-09,12243,3503624,533
nation,England,E92000001,2021-02-08,13836,3491381,616
nation,England,E92000001,2021-02-07,10137,3477545,564
nation,England,E92000001,2021-02-06,10581,3467408,608
nation,England,E92000001,2021-02-05,13971,3456827,675
nation,England,E92000001,2021-02-04,16153,3442856,647
nation,England,E92000001,2021-02-03,17407,3426703,777
nation,England,E92000001,2021-02-02,17660,3409296,758
nation,England,E92000001,2021-02-01,20105,3391636,800
nation,England,E92000001,2021-01-31,13706,3371531,808
nation,England,E92000001,2021-01-30,14999,3357825,830
nation,England,E92000001,2021-01-29,19681,3342826,946
nation,England,E92000001,2021-01-28,21844,3323145,1014
nation,England,E92000001,2021-01-27,23239,3301301,1007
nation,England,E92000001,2021-01-26,24434,3278062,957
nation,England,E92000001,2021-01-25,27098,3253628,1069
nation,England,E92000001,2021-01-24,15455,3226530,1039
nation,England,E92000001,2021-01-23,19877,3211075,1056
nation,England,E92000001,2021-01-22,26904,3191198,1120
nation,England,E92000001,2021-01-21,28760,3164294,1131
nation,England,E92000001,2021-01-20,31755,3135534,1172
nation,England,E92000001,2021-01-19,35974,3103779,1247
nation,England,E92000001,2021-01-18,40725,3067805,1168
nation,England,E92000001,2021-01-17,26206,3027080,1166
nation,England,E92000001,2021-01-16,27657,3000874,1166
nation,England,E92000001,2021-01-15,36790,2973217,1098
nation,England,E92000001,2021-01-14,38521,2936427,1090
nation,England,E92000001,2021-01-13,41148,2897906,1099
nation,England,E92000001,2021-01-12,44678,2856758,1090
nation,England,E92000001,2021-01-11,52008,2812080,1006
nation,England,E92000001,2021-01-10,32853,2760072,978
nation,England,E92000001,2021-01-09,35444,2727219,925
nation,England,E92000001,2021-01-08,42333,2691775,888
nation,England,E92000001,2021-01-07,46826,2649442,887
nation,England,E92000001,2021-01-06,51312,2602616,825
nation,England,E92000001,2021-01-05,58042,2551304,821
nation,England,E92000001,2021-01-04,69116,2493262,754
nation,England,E92000001,2021-01-03,49517,2424146,651
nation,England,E92000001,2021-01-02,54162,2374629,669
nation,England,E92000001,2021-01-01,28220,2320467,641
nation,England,E92000001,2020-12-31,46678,2292247,649
nation,England,E92000001,2020-12-30,62896,2245569,626
nation,England,E92000001,2020-12-29,72512,2182673,580
nation,England,E92000001,2020-12-28,40040,2110161,588
nation,England,E92000001,2020-12-27,42439,2070121,570
nation,England,E92000001,2020-12-26,36703,2027682,566
nation,England,E92000001,2020-12-25,12676,1990979,534
nation,England,E92000001,2020-12-24,28703,1978303,484
nation,England,E92000001,2020-12-23,37620,1949600,485
nation,England,E92000001,2020-12-22,40905,1911980,490
nation,England,E92000001,2020-12-21,42594,1871075,494
nation,England,E92000001,2020-12-20,28945,1828481,429
nation,England,E92000001,2020-12-19,21735,1799536,412
nation,England,E92000001,2020-12-18,31827,1777801,433
nation,England,E92000001,2020-12-17,29596,1745974,439
nation,England,E92000001,2020-12-16,30119,1716378,356
nation,England,E92000001,2020-12-15,29093,1686259,386
nation,England,E92000001,2020-12-14,29517,1657166,413
nation,England,E92000001,2020-12-13,18130,1627649,363
nation,England,E92000001,2020-12-12,16028,1609519,375
nation,England,E92000001,2020-12-11,19869,1593491,398
nation,England,E92000001,2020-12-10,18546,1573622,378
nation,England,E92000001,2020-12-09,17463,1555076,375
nation,England,E92000001,2020-12-08,16667,1537613,375
nation,England,E92000001,2020-12-07,17394,1520946,355
nation,England,E92000001,2020-12-06,10872,1503552,350
nation,England,E92000001,2020-12-05,10143,1492680,343
nation,England,E92000001,2020-12-04,12886,1482537,412
nation,England,E92000001,2020-12-03,12525,1469651,405
nation,England,E92000001,2020-12-02,13465,1457126,335
nation,England,E92000001,2020-12-01,13517,1443661,347
nation,England,E92000001,2020-11-30,15028,1430144,363
nation,England,E92000001,2020-11-29,8903,1415116,400
nation,England,E92000001,2020-11-28,9209,1406213,383
nation,England,E92000001,2020-11-27,12264,1397004,366
nation,England,E92000001,2020-11-26,12279,1384740,369
nation,England,E92000001,2020-11-25,13928,1372461,424
nation,England,E92000001,2020-11-24,14028,1358533,404
nation,England,E92000001,2020-11-23,16210,1344505,401
nation,England,E92000001,2020-11-22,10037,1328295,406
nation,England,E92000001,2020-11-21,10616,1318258,398
nation,England,E92000001,2020-11-20,14679,1307642,389
nation,England,E92000001,2020-11-19,15507,1292963,397
nation,England,E92000001,2020-11-18,18216,1277456,434
nation,England,E92000001,2020-11-17,20327,1259240,364
nation,England,E92000001,2020-11-16,23726,1238913,358
nation,England,E92000001,2020-11-15,14210,1215187,382
nation,England,E92000001,2020-11-14,16039,1200977,358
nation,England,E92000001,2020-11-13,21652,1184938,357
nation,England,E92000001,2020-11-12,21949,1163286,351
nation,England,E92000001,2020-11-11,24645,1141337,312
nation,England,E92000001,2020-11-10,24466,1116692,319
nation,England,E92000001,2020-11-09,28097,1092226,401
nation,England,E92000001,2020-11-08,17962,1064129,341
nation,England,E92000001,2020-11-07,16620,1046167,332
nation,England,E92000001,2020-11-06,20822,1029547,333
nation,England,E92000001,2020-11-05,20876,1008725,301
nation,England,E92000001,2020-11-04,20691,987849,277
nation,England,E92000001,2020-11-03,22308,967158,291
nation,England,E92000001,2020-11-02,27925,944850,284
nation,England,E92000001,2020-11-01,13370,916925,286
nation,England,E92000001,2020-10-31,14348,903555,276
nation,England,E92000001,2020-10-30,19644,889207,280
nation,England,E92000001,2020-10-29,19971,869563,249
nation,England,E92000001,2020-10-28,20234,849592,238
nation,England,E92000001,2020-10-27,20487,829358,218
nation,England,E92000001,2020-10-26,22753,808871,221
nation,England,E92000001,2020-10-25,13166,786118,206
nation,England,E92000001,2020-10-24,13517,772952,171
nation,England,E92000001,2020-10-23,18107,759435,188
nation,England,E92000001,2020-10-22,19613,741328,187
nation,England,E92000001,2020-10-21,21485,721715,191
nation,England,E92000001,2020-10-20,21340,700230,171
nation,England,E92000001,2020-10-19,22099,678890,159
nation,England,E92000001,2020-10-18,11856,656791,120
nation,England,E92000001,2020-10-17,12349,644935,160
nation,England,E92000001,2020-10-16,14545,632586,123
nation,England,E92000001,2020-10-15,15243,618041,124
nation,England,E92000001,2020-10-14,16443,602798,101
nation,England,E92000001,2020-10-13,15437,586355,87
nation,England,E92000001,2020-10-12,16196,570918,96
nation,England,E92000001,2020-10-11,9655,554722,103
nation,England,E92000001,2020-10-10,10153,545067,90
nation,England,E92000001,2020-10-09,13010,534914,67
nation,England,E92000001,2020-10-08,15268,521904,75
nation,England,E92000001,2020-10-07,15194,506636,81
nation,England,E92000001,2020-10-06,14295,491442,62
nation,England,E92000001,2020-10-05,14038,477147,59
nation,England,E92000001,2020-10-04,9834,463109,54
nation,England,E92000001,2020-10-03,9700,453275,55
nation,England,E92000001,2020-10-02,11574,443575,63
nation,England,E92000001,2020-10-01,11302,432001,56
nation,England,E92000001,2020-09-30,10523,420699,48
nation,England,E92000001,2020-09-29,8721,410176,43
nation,England,E92000001,2020-09-28,8580,401455,47
nation,England,E92000001,2020-09-27,6025,392875,42
nation,England,E92000001,2020-09-26,5650,386850,35
nation,England,E92000001,2020-09-25,6034,381200,29
nation,England,E92000001,2020-09-24,6292,375166,33
nation,England,E92000001,2020-09-23,5890,368874,52
nation,England,E92000001,2020-09-22,5356,362984,34
nation,England,E92000001,2020-09-21,4700,357628,24
nation,England,E92000001,2020-09-20,4625,352928,27
nation,England,E92000001,2020-09-19,4177,348303,18
nation,England,E92000001,2020-09-18,4274,344126,21
nation,England,E92000001,2020-09-17,3938,339852,24
nation,England,E92000001,2020-09-16,3744,335914,22
nation,England,E92000001,2020-09-15,3038,332170,15
nation,England,E92000001,2020-09-14,2900,329132,17
nation,England,E92000001,2020-09-13,1708,326232,14
nation,England,E92000001,2020-09-12,2207,324524,18
nation,England,E92000001,2020-09-11,2856,322317,10
nation,England,E92000001,2020-09-10,3099,319461,12
nation,England,E92000001,2020-09-09,2851,316362,9
nation,England,E92000001,2020-09-08,3000,313511,9
nation,England,E92000001,2020-09-07,3461,310511,13
nation,England,E92000001,2020-09-06,2058,307050,8
nation,England,E92000001,2020-09-05,2190,304992,12
nation,England,E92000001,2020-09-04,2590,302802,6
nation,England,E92000001,2020-09-03,2664,300212,6
nation,England,E92000001,2020-09-02,2616,297548,8
nation,England,E92000001,2020-09-01,1928,294932,2
nation,England,E92000001,2020-08-31,1261,293004,7
nation,England,E92000001,2020-08-30,976,291743,6
nation,England,E92000001,2020-08-29,1041,290767,5
nation,England,E92000001,2020-08-28,1382,289726,8
nation,England,E92000001,2020-08-27,1324,288344,8
nation,England,E92000001,2020-08-26,1138,287020,11
nation,England,E92000001,2020-08-25,1060,285882,11
nation,England,E92000001,2020-08-24,1133,284822,5
nation,England,E92000001,2020-08-23,696,283689,13
nation,England,E92000001,2020-08-22,716,282993,6
nation,England,E92000001,2020-08-21,1006,282277,7
nation,England,E92000001,2020-08-20,1218,281271,8
nation,England,E92000001,2020-08-19,1073,280053,2
nation,England,E92000001,2020-08-18,925,278980,7
nation,England,E92000001,2020-08-17,1136,278055,12
nation,England,E92000001,2020-08-16,530,276919,4
nation,England,E92000001,2020-08-15,643,276389,11
nation,England,E92000001,2020-08-14,1039,275746,6
nation,England,E92000001,2020-08-13,1019,274707,7
nation,England,E92000001,2020-08-12,1094,273688,6
nation,England,E92000001,2020-08-11,1211,272594,10
nation,England,E92000001,2020-08-10,1350,271383,11
nation,England,E92000001,2020-08-09,555,270033,8
nation,England,E92000001,2020-08-08,635,269478,11
nation,England,E92000001,2020-08-07,867,268843,7
nation,England,E92000001,2020-08-06,979,267976,9
nation,England,E92000001,2020-08-05,941,266997,3
nation,England,E92000001,2020-08-04,920,266056,10
nation,England,E92000001,2020-08-03,938,265136,14
nation,England,E92000001,2020-08-02,512,264198,8
nation,England,E92000001,2020-08-01,494,263686,9
nation,England,E92000001,2020-07-31,627,263192,10
nation,England,E92000001,2020-07-30,858,262565,8
nation,England,E92000001,2020-07-29,973,261707,8
nation,England,E92000001,2020-07-28,779,260734,10
nation,England,E92000001,2020-07-27,807,259955,10
nation,England,E92000001,2020-07-26,515,259148,14
nation,England,E92000001,2020-07-25,493,258633,13
nation,England,E92000001,2020-07-24,718,258140,6
nation,England,E92000001,2020-07-23,731,257422,16
nation,England,E92000001,2020-07-22,747,256691,16
nation,England,E92000001,2020-07-21,690,255944,19
nation,England,E92000001,2020-07-20,753,255254,12
nation,England,E92000001,2020-07-19,413,254501,14
nation,England,E92000001,2020-07-18,467,254088,14
nation,England,E92000001,2020-07-17,548,253621,18
nation,England,E92000001,2020-07-16,641,253073,12
nation,England,E92000001,2020-07-15,724,252432,20
nation,England,E92000001,2020-07-14,650,251708,20
nation,England,E92000001,2020-07-13,691,251058,22
nation,England,E92000001,2020-07-12,354,250367,12
nation,England,E92000001,2020-07-11,420,250013,20
nation,England,E92000001,2020-07-10,520,249593,21
nation,England,E92000001,2020-07-09,683,249073,35
nation,England,E92000001,2020-07-08,672,248390,23
nation,England,E92000001,2020-07-07,559,247718,26
nation,England,E92000001,2020-07-06,657,247159,33
nation,England,E92000001,2020-07-05,540,246502,24
nation,England,E92000001,2020-07-04,386,245962,31
nation,England,E92000001,2020-07-03,541,245576,26
nation,England,E92000001,2020-07-02,563,245035,40
nation,England,E92000001,2020-07-01,617,244472,22
nation,England,E92000001,2020-06-30,573,243855,43
nation,England,E92000001,2020-06-29,666,243282,34
nation,England,E92000001,2020-06-28,410,242616,42
nation,England,E92000001,2020-06-27,504,242206,39
nation,England,E92000001,2020-06-26,643,241702,37
nation,England,E92000001,2020-06-25,634,241059,58
nation,England,E92000001,2020-06-24,727,240425,68
nation,England,E92000001,2020-06-23,730,239698,61
nation,England,E92000001,2020-06-22,815,238968,58
nation,England,E92000001,2020-06-21,550,238153,47
nation,England,E92000001,2020-06-20,628,237603,54
nation,England,E92000001,2020-06-19,818,236975,47
nation,England,E92000001,2020-06-18,943,236157,57
nation,England,E92000001,2020-06-17,910,235214,53
nation,England,E92000001,2020-06-16,994,234304,69
nation,England,E92000001,2020-06-15,938,233310,61
nation,England,E92000001,2020-06-14,743,232372,76
nation,England,E92000001,2020-06-13,791,231629,53
nation,England,E92000001,2020-06-12,942,230838,73
nation,England,E92000001,2020-06-11,912,229896,71
nation,England,E92000001,2020-06-10,1079,228984,97
nation,England,E92000001,2020-06-09,1053,227905,85
nation,England,E92000001,2020-06-08,993,226852,111
nation,England,E92000001,2020-06-07,665,225859,112
nation,England,E92000001,2020-06-06,724,225194,99
nation,England,E92000001,2020-06-05,1023,224470,109
nation,England,E92000001,2020-06-04,1145,223447,121
nation,England,E92000001,2020-06-03,1239,222302,138
nation,England,E92000001,2020-06-02,1348,221063,156
nation,England,E92000001,2020-06-01,1314,219715,122
nation,England,E92000001,2020-05-31,986,218401,112
nation,England,E92000001,2020-05-30,997,217415,145
nation,England,E92000001,2020-05-29,1372,216418,163
nation,England,E92000001,2020-05-28,1569,215046,182
nation,England,E92000001,2020-05-27,1611,213477,171
nation,England,E92000001,2020-05-26,1449,211866,188
nation,England,E92000001,2020-05-25,1375,210417,176
nation,England,E92000001,2020-05-24,1199,209042,169
nation,England,E92000001,2020-05-23,1302,207843,200
nation,England,E92000001,2020-05-22,1791,206541,195
nation,England,E92000001,2020-05-21,2267,204750,201
nation,England,E92000001,2020-05-20,2343,202483,234
nation,England,E92000001,2020-05-19,2584,200140,231
nation,England,E92000001,2020-05-18,2204,197556,253
