areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2022-02-07,33781,15389601,43
nation,England,E92000001,2022-02-06,48795,15355820,88
nation,England,E92000001,2022-02-05,42617,15307025,84
nation,England,E92000001,2022-02-04,52067,15264408,112
nation,England,E92000001,2022-02-03,63574,15212341,157
nation,England,E92000001,2022-02-02,73556,15148767,179
nation,England,E92000001,2022-02-01,77960,15075211,195
nation,England,E92000001,2022-01-31,88143,14997251,209
nation,England,E92000001,2022-01-30,74662,14909108,208
nation,England,E92000001,2022-01-29,62838,14834446,223
nation,England,E92000001,2022-01-28,71521,14771608,216
nation,England,E92000001,2022-01-27,82526,14700087,254
nation,England,E92000001,2022-01-26,93081,14617561,233
nation,England,E92000001,2022-01-25,96819,14524480,208
nation,England,E92000001,2022-01-24,109057,14427661,252
nation,England,E92000001,2022-01-23,88465,14318604,217
nation,England,E92000001,2022-01-22,70302,14230139,248
nation,England,E92000001,2022-01-21,78905,14159837,275
nation,England,E92000001,2022-01-20,86834,14080932,224
nation,England,E92000001,2022-01-19,97197,13994098,240
nation,England,E92000001,2022-01-18,103026,13896901,245
nation,England,E92000001,2022-01-17,114550,13793875,255
nation,England,E92000001,2022-01-16,85464,13679325,248
nation,England,E92000001,2022-01-15,67686,13593861,251
nation,England,E92000001,2022-01-14,75021,13526175,246
nation,England,E92000001,2022-01-13,83982,13451154,236
nation,England,E92000001,2022-01-12,89862,13367172,221
nation,England,E92000001,2022-01-11,100855,13277310,245
nation,England,E92000001,2022-01-10,115982,13176455,250
nation,England,E92000001,2022-01-09,82920,13060473,231
nation,England,E92000001,2022-01-08,81115,12977553,217
nation,England,E92000001,2022-01-07,104900,12896438,230
nation,England,E92000001,2022-01-06,150565,12791538,220
nation,England,E92000001,2022-01-05,183510,12640973,194
nation,England,E92000001,2022-01-04,234687,12457463,178
nation,England,E92000001,2022-01-03,193409,12222776,160
nation,England,E92000001,2022-01-02,148385,12029367,154
nation,England,E92000001,2022-01-01,98977,11880982,162
nation,England,E92000001,2021-12-31,152722,11782005,148
nation,England,E92000001,2021-12-30,192469,11629283,174
nation,England,E92000001,2021-12-29,223662,11436814,102
nation,England,E92000001,2021-12-28,170340,11213152,146
nation,England,E92000001,2021-12-27,155257,11042812,124
nation,England,E92000001,2021-12-26,98779,10887555,108
nation,England,E92000001,2021-12-25,59836,10788776,90
nation,England,E92000001,2021-12-24,117402,10728940,115
