areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-07,884,561815
overview,United Kingdom,K02000001,2020-10-06,8980,560931
overview,United Kingdom,K02000001,2020-10-05,13238,551951
overview,United Kingdom,K02000001,2020-10-04,11397,538713
overview,United Kingdom,K02000001,2020-10-03,11260,527316
overview,United Kingdom,K02000001,2020-10-02,13571,516056
overview,United Kingdom,K02000001,2020-10-01,13088,502485
overview,United Kingdom,K02000001,2020-09-30,12489,489397
overview,United Kingdom,K02000001,2020-09-29,10214,476908
overview,United Kingdom,K02000001,2020-09-28,9886,466694
overview,United Kingdom,K02000001,2020-09-27,6961,456808
overview,United Kingdom,K02000001,2020-09-26,6740,449847
overview,United Kingdom,K02000001,2020-09-25,7244,443107
overview,United Kingdom,K02000001,2020-09-24,7606,435863
overview,United Kingdom,K02000001,2020-09-23,7047,428257
overview,United Kingdom,K02000001,2020-09-22,6407,421210
overview,United Kingdom,K02000001,2020-09-21,5590,414803
overview,United Kingdom,K02000001,2020-09-20,5313,409213
overview,United Kingdom,K02000001,2020-09-19,4867,403900
overview,United Kingdom,K02000001,2020-09-18,4964,399033
overview,United Kingdom,K02000001,2020-09-17,4637,394069
overview,United Kingdom,K02000001,2020-09-16,4370,389432
overview,United Kingdom,K02000001,2020-09-15,3558,385062
overview,United Kingdom,K02000001,2020-09-14,3390,381504
overview,United Kingdom,K02000001,2020-09-13,2147,378114
overview,United Kingdom,K02000001,2020-09-12,2672,375967
overview,United Kingdom,K02000001,2020-09-11,3287,373295
overview,United Kingdom,K02000001,2020-09-10,3599,370008
overview,United Kingdom,K02000001,2020-09-09,3330,366409
overview,United Kingdom,K02000001,2020-09-08,3298,363079
overview,United Kingdom,K02000001,2020-09-07,3861,359781
overview,United Kingdom,K02000001,2020-09-06,2447,355920
overview,United Kingdom,K02000001,2020-09-05,2545,353473
overview,United Kingdom,K02000001,2020-09-04,3039,350928
overview,United Kingdom,K02000001,2020-09-03,3099,347889
overview,United Kingdom,K02000001,2020-09-02,2996,344790
overview,United Kingdom,K02000001,2020-09-01,2250,341794
overview,United Kingdom,K02000001,2020-08-31,1500,339544
overview,United Kingdom,K02000001,2020-08-30,1163,338044
overview,United Kingdom,K02000001,2020-08-29,1227,336881
overview,United Kingdom,K02000001,2020-08-28,1632,335654
overview,United Kingdom,K02000001,2020-08-27,1560,334022
overview,United Kingdom,K02000001,2020-08-26,1354,332462
overview,United Kingdom,K02000001,2020-08-25,1246,331108
overview,United Kingdom,K02000001,2020-08-24,1222,329862
overview,United Kingdom,K02000001,2020-08-23,824,328640
overview,United Kingdom,K02000001,2020-08-22,827,327816
overview,United Kingdom,K02000001,2020-08-21,1199,326989
overview,United Kingdom,K02000001,2020-08-20,1466,325790
overview,United Kingdom,K02000001,2020-08-19,1242,324324
overview,United Kingdom,K02000001,2020-08-18,1084,323082
overview,United Kingdom,K02000001,2020-08-17,1284,321998
overview,United Kingdom,K02000001,2020-08-16,601,320714
overview,United Kingdom,K02000001,2020-08-15,697,320113
overview,United Kingdom,K02000001,2020-08-14,1169,319416
overview,United Kingdom,K02000001,2020-08-13,1146,318247
overview,United Kingdom,K02000001,2020-08-12,1205,317101
overview,United Kingdom,K02000001,2020-08-11,1341,315896
overview,United Kingdom,K02000001,2020-08-10,1474,314555
overview,United Kingdom,K02000001,2020-08-09,616,313081
overview,United Kingdom,K02000001,2020-08-08,697,312465
overview,United Kingdom,K02000001,2020-08-07,943,311768
overview,United Kingdom,K02000001,2020-08-06,1083,310825
overview,United Kingdom,K02000001,2020-08-05,1061,309742
overview,United Kingdom,K02000001,2020-08-04,1022,308681
overview,United Kingdom,K02000001,2020-08-03,1043,307659
overview,United Kingdom,K02000001,2020-08-02,555,306616
overview,United Kingdom,K02000001,2020-08-01,543,306061
overview,United Kingdom,K02000001,2020-07-31,675,305518
overview,United Kingdom,K02000001,2020-07-30,926,304843
overview,United Kingdom,K02000001,2020-07-29,1040,303917
overview,United Kingdom,K02000001,2020-07-28,844,302877
overview,United Kingdom,K02000001,2020-07-27,857,302033
overview,United Kingdom,K02000001,2020-07-26,558,301176
