areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-09-07,7059,6102850,28
nation,England,E92000001,2021-09-06,27772,6095791,75
nation,England,E92000001,2021-09-05,21856,6068019,89
nation,England,E92000001,2021-09-04,22098,6046163,80
nation,England,E92000001,2021-09-03,27757,6024065,104
nation,England,E92000001,2021-09-02,29807,5996308,89
nation,England,E92000001,2021-09-01,30804,5966501,84
nation,England,E92000001,2021-08-31,32781,5935697,86
nation,England,E92000001,2021-08-30,24295,5902916,87
nation,England,E92000001,2021-08-29,18658,5878621,99
nation,England,E92000001,2021-08-28,19625,5859963,96
nation,England,E92000001,2021-08-27,23593,5840338,105
nation,England,E92000001,2021-08-26,25816,5816745,99
nation,England,E92000001,2021-08-25,27124,5790929,85
nation,England,E92000001,2021-08-24,27452,5763805,102
nation,England,E92000001,2021-08-23,29562,5736353,95
nation,England,E92000001,2021-08-22,21892,5706791,98
nation,England,E92000001,2021-08-21,22068,5684899,87
nation,England,E92000001,2021-08-20,24941,5662831,101
nation,England,E92000001,2021-08-19,28339,5637890,91
nation,England,E92000001,2021-08-18,30621,5609551,78
nation,England,E92000001,2021-08-17,30231,5578930,93
nation,England,E92000001,2021-08-16,30095,5548699,69
nation,England,E92000001,2021-08-15,20800,5518604,69
nation,England,E92000001,2021-08-14,20866,5497804,79
nation,England,E92000001,2021-08-13,24408,5476938,86
nation,England,E92000001,2021-08-12,27006,5452530,92
nation,England,E92000001,2021-08-11,28426,5425524,78
nation,England,E92000001,2021-08-10,26925,5397098,68
nation,England,E92000001,2021-08-09,27582,5370173,68
nation,England,E92000001,2021-08-08,19651,5342591,65
nation,England,E92000001,2021-08-07,19475,5322940,85
nation,England,E92000001,2021-08-06,24252,5303465,79
nation,England,E92000001,2021-08-05,27470,5279213,85
nation,England,E92000001,2021-08-04,28174,5251743,70
nation,England,E92000001,2021-08-03,26376,5223569,66
nation,England,E92000001,2021-08-02,25919,5197193,65
nation,England,E92000001,2021-08-01,18184,5171274,73
nation,England,E92000001,2021-07-31,17985,5153090,75
nation,England,E92000001,2021-07-30,21553,5135105,91
nation,England,E92000001,2021-07-29,24730,5113552,64
nation,England,E92000001,2021-07-28,26259,5088822,69
nation,England,E92000001,2021-07-27,25379,5062563,60
nation,England,E92000001,2021-07-26,25833,5037184,65
