areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2020-12-13,928,1602174,56
nation,England,E92000001,2020-12-12,10606,1601246,144
nation,England,E92000001,2020-12-11,18191,1590640,209
nation,England,E92000001,2020-12-10,17808,1572449,280
nation,England,E92000001,2020-12-09,17227,1554641,308
nation,England,E92000001,2020-12-08,16563,1537414,330
nation,England,E92000001,2020-12-07,17352,1520851,308
nation,England,E92000001,2020-12-06,10855,1503499,304
nation,England,E92000001,2020-12-05,10149,1492644,299
nation,England,E92000001,2020-12-04,12863,1482495,379
nation,England,E92000001,2020-12-03,12515,1469632,374
nation,England,E92000001,2020-12-02,13406,1457117,333
nation,England,E92000001,2020-12-01,13464,1443711,335
nation,England,E92000001,2020-11-30,15007,1430247,359
nation,England,E92000001,2020-11-29,8909,1415240,398
nation,England,E92000001,2020-11-28,9188,1406331,373
nation,England,E92000001,2020-11-27,12270,1397143,359
nation,England,E92000001,2020-11-26,12251,1384873,373
nation,England,E92000001,2020-11-25,13904,1372622,420
nation,England,E92000001,2020-11-24,14020,1358718,403
nation,England,E92000001,2020-11-23,16167,1344698,399
nation,England,E92000001,2020-11-22,10031,1328531,405
nation,England,E92000001,2020-11-21,10606,1318500,396
nation,England,E92000001,2020-11-20,14680,1307894,388
nation,England,E92000001,2020-11-19,15499,1293214,393
nation,England,E92000001,2020-11-18,18215,1277715,435
nation,England,E92000001,2020-11-17,20329,1259500,363
nation,England,E92000001,2020-11-16,23708,1239171,360
nation,England,E92000001,2020-11-15,14217,1215463,379
nation,England,E92000001,2020-11-14,16035,1201246,357
nation,England,E92000001,2020-11-13,21638,1185211,358
nation,England,E92000001,2020-11-12,21927,1163573,351
nation,England,E92000001,2020-11-11,24636,1141646,309
nation,England,E92000001,2020-11-10,24459,1117010,318
nation,England,E92000001,2020-11-09,28082,1092551,402
nation,England,E92000001,2020-11-08,17954,1064469,339
nation,England,E92000001,2020-11-07,16609,1046515,331
nation,England,E92000001,2020-11-06,20804,1029906,331
nation,England,E92000001,2020-11-05,20871,1009102,301
nation,England,E92000001,2020-11-04,20693,988231,277
nation,England,E92000001,2020-11-03,22296,967538,291
nation,England,E92000001,2020-11-02,27928,945242,281
nation,England,E92000001,2020-11-01,13365,917314,285
nation,England,E92000001,2020-10-31,14355,903949,277
nation,England,E92000001,2020-10-30,19642,889594,280
nation,England,E92000001,2020-10-29,19961,869952,249
nation,England,E92000001,2020-10-28,20237,849991,238
nation,England,E92000001,2020-10-27,20499,829754,218
